comunidad|provincia|municipio|partido|votos|porcentaje
cylm|ciudadreal|Abenójar|FO|0|0
cylm|ciudadreal|Abenójar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|7|1.14
cylm|ciudadreal|Abenójar|IZQESP|2|0.32
cylm|ciudadreal|Abenójar|PP|232|37.9
cylm|ciudadreal|Abenójar|PSOE|301|49.18
cylm|ciudadreal|Abenójar|VOX|41|6.69
cylm|ciudadreal|Abenójar|SUMAR|12|1.96
cylm|ciudadreal|Abenójar|PODEMOS|7|1.14
cylm|ciudadreal|Agudo|FO|1|0.14
cylm|ciudadreal|Agudo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|17|2.41
cylm|ciudadreal|Agudo|IZQESP|1|0.14
cylm|ciudadreal|Agudo|PP|381|54.04
cylm|ciudadreal|Agudo|PSOE|213|30.21
cylm|ciudadreal|Agudo|VOX|72|10.21
cylm|ciudadreal|Agudo|SUMAR|3|0.42
cylm|ciudadreal|Agudo|PODEMOS|6|0.85
cylm|ciudadreal|Alamillo|FO|0|0
cylm|ciudadreal|Alamillo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|7|3.31
cylm|ciudadreal|Alamillo|IZQESP|1|0.47
cylm|ciudadreal|Alamillo|PP|100|47.39
cylm|ciudadreal|Alamillo|PSOE|81|38.38
cylm|ciudadreal|Alamillo|VOX|14|6.63
cylm|ciudadreal|Alamillo|SUMAR|4|1.89
cylm|ciudadreal|Alamillo|PODEMOS|1|0.47
cylm|ciudadreal|Albaladejo|FO|0|0
cylm|ciudadreal|Albaladejo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|10|2.07
cylm|ciudadreal|Albaladejo|IZQESP|1|0.2
cylm|ciudadreal|Albaladejo|PP|204|42.41
cylm|ciudadreal|Albaladejo|PSOE|205|42.61
cylm|ciudadreal|Albaladejo|VOX|41|8.52
cylm|ciudadreal|Albaladejo|SUMAR|2|0.41
cylm|ciudadreal|Albaladejo|PODEMOS|7|1.45
cylm|ciudadreal|Alcázar de San Juan|FO|68|0.54
