comunidad|provincia|municipio|partido|votos|porcentaje
andalucia|almeria|Abla|FO|2|0.39
andalucia|almeria|Abla|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|18|3.51
andalucia|almeria|Abla|IZQESP|1|0.19
andalucia|almeria|Abla|PP|192|37.5
andalucia|almeria|Abla|PSOE|201|39.25
andalucia|almeria|Abla|VOX|60|11.71
andalucia|almeria|Abla|SUMAR|12|2.34
andalucia|almeria|Abla|PODEMOS|14|2.73
andalucia|almeria|Abrucena|FO|0|0
andalucia|almeria|Abrucena|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|19|3.94
andalucia|almeria|Abrucena|IZQESP|0|0
andalucia|almeria|Abrucena|PP|179|37.13
andalucia|almeria|Abrucena|PSOE|184|38.17
andalucia|almeria|Abrucena|VOX|67|13.9
andalucia|almeria|Abrucena|SUMAR|13|2.69
andalucia|almeria|Abrucena|PODEMOS|6|1.24
andalucia|almeria|Adra|FO|20|0.25
andalucia|almeria|Adra|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|571|7.35
andalucia|almeria|Adra|IZQESP|5|0.06
andalucia|almeria|Adra|PP|3.723|47.92
andalucia|almeria|Adra|PSOE|1.671|21.51
andalucia|almeria|Adra|VOX|1.387|17.85
andalucia|almeria|Adra|SUMAR|98|1.26
andalucia|almeria|Adra|PODEMOS|107|1.37
andalucia|almeria|Albánchez|FO|0|0
andalucia|almeria|Albánchez|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|14|6.3
andalucia|almeria|Albánchez|IZQESP|0|0
andalucia|almeria|Albánchez|PP|90|40.54
andalucia|almeria|Albánchez|PSOE|83|37.38
andalucia|almeria|Albánchez|VOX|24|10.81
andalucia|almeria|Albánchez|SUMAR|2|0.9
andalucia|almeria|Albánchez|PODEMOS|4|1.8
andalucia|almeria|Alboloduy|FO|2|0.65
andalucia|almeria|Alboloduy|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|8|2.62
andalucia|almeria|Alboloduy|IZQESP|1|0.32
andalucia|almeria|Alboloduy|PP|145|47.54
andalucia|almeria|Alboloduy|PSOE|95|31.14
andalucia|almeria|Alboloduy|VOX|37|12.13
andalucia|almeria|Alboloduy|SUMAR|5|1.63
andalucia|almeria|Alboloduy|PODEMOS|4|1.31
andalucia|almeria|Albox|FO|2|0.06
andalucia|almeria|Albox|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|179|6.1
andalucia|almeria|Albox|IZQESP|1|0.03
andalucia|almeria|Albox|PP|1.454|49.57
andalucia|almeria|Albox|PSOE|827|28.19
andalucia|almeria|Albox|VOX|312|10.63
andalucia|almeria|Albox|SUMAR|41|1.39
andalucia|almeria|Albox|PODEMOS|42|1.43
andalucia|almeria|Alcolea|FO|0|0
andalucia|almeria|Alcolea|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|16|4.89
andalucia|almeria|Alcolea|IZQESP|1|0.3
andalucia|almeria|Alcolea|PP|139|42.5
andalucia|almeria|Alcolea|PSOE|116|35.47
andalucia|almeria|Alcolea|VOX|31|9.48
