comunidad|provincia|municipio|partido|votos|porcentaje
andalucia|cadiz|Alcalá de los Gazules|FO|2|0.11
andalucia|cadiz|Alcalá de los Gazules|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|51|3.05
andalucia|cadiz|Alcalá de los Gazules|IZQESP|0|0
andalucia|cadiz|Alcalá de los Gazules|PP|527|31.53
andalucia|cadiz|Alcalá de los Gazules|PSOE|723|43.26
andalucia|cadiz|Alcalá de los Gazules|VOX|198|11.84
andalucia|cadiz|Alcalá de los Gazules|SUMAR|77|4.6
andalucia|cadiz|Alcalá de los Gazules|PODEMOS|27|1.61
andalucia|cadiz|Alcalá del Valle|FO|2|0.09
andalucia|cadiz|Alcalá del Valle|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|36|1.72
andalucia|cadiz|Alcalá del Valle|IZQESP|4|0.19
andalucia|cadiz|Alcalá del Valle|PP|166|7.95
andalucia|cadiz|Alcalá del Valle|PSOE|1.028|49.28
andalucia|cadiz|Alcalá del Valle|VOX|51|2.44
andalucia|cadiz|Alcalá del Valle|SUMAR|714|34.22
andalucia|cadiz|Alcalá del Valle|PODEMOS|71|3.4
andalucia|cadiz|Algar|FO|1|0.21
andalucia|cadiz|Algar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|23|4.92
andalucia|cadiz|Algar|IZQESP|0|0
andalucia|cadiz|Algar|PP|238|50.96
andalucia|cadiz|Algar|PSOE|125|26.76
andalucia|cadiz|Algar|VOX|50|10.7
andalucia|cadiz|Algar|SUMAR|13|2.78
andalucia|cadiz|Algar|PODEMOS|1|0.21
andalucia|cadiz|Algeciras|FO|127|0.37
andalucia|cadiz|Algeciras|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3.144|9.2
andalucia|cadiz|Algeciras|IZQESP|63|0.18
andalucia|cadiz|Algeciras|PP|12.566|36.79
andalucia|cadiz|Algeciras|PSOE|9.341|27.35
andalucia|cadiz|Algeciras|VOX|5.444|15.94
andalucia|cadiz|Algeciras|SUMAR|1.203|3.52
andalucia|cadiz|Algeciras|PODEMOS|729|2.13
andalucia|cadiz|Algodonales|FO|4|0.22
andalucia|cadiz|Algodonales|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|97|5.36
andalucia|cadiz|Algodonales|IZQESP|4|0.22
andalucia|cadiz|Algodonales|PP|591|32.66
andalucia|cadiz|Algodonales|PSOE|829|45.82
andalucia|cadiz|Algodonales|VOX|127|7.02
andalucia|cadiz|Algodonales|SUMAR|75|4.14
andalucia|cadiz|Algodonales|PODEMOS|33|1.82
andalucia|cadiz|Arcos de la Frontera|FO|21|0.24
andalucia|cadiz|Arcos de la Frontera|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|635|7.47
andalucia|cadiz|Arcos de la Frontera|IZQESP|20|0.23
andalucia|cadiz|Arcos de la Frontera|PP|3.174|37.35
andalucia|cadiz|Arcos de la Frontera|PSOE|3.068|36.1
andalucia|cadiz|Arcos de la Frontera|VOX|814|9.57
andalucia|cadiz|Arcos de la Frontera|SUMAR|272|3.2
andalucia|cadiz|Arcos de la Frontera|PODEMOS|159|1.87
andalucia|cadiz|Barbate|FO|18|0.3
andalucia|cadiz|Barbate|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|335|5.6
andalucia|cadiz|Barbate|IZQESP|8|0.13
andalucia|cadiz|Barbate|PP|2.144|35.84
andalucia|cadiz|Barbate|PSOE|1.982|33.13
andalucia|cadiz|Barbate|VOX|657|10.98
andalucia|cadiz|Barbate|SUMAR|322|5.38
andalucia|cadiz|Barbate|PODEMOS|165|2.75
andalucia|cadiz|Benalup-Casas Viejas|FO|2|0.08
andalucia|cadiz|Benalup-Casas Viejas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|87|3.73
andalucia|cadiz|Benalup-Casas Viejas|IZQESP|6|0.25
andalucia|cadiz|Benalup-Casas Viejas|PP|690|29.58
andalucia|cadiz|Benalup-Casas Viejas|PSOE|1.139|48.84
andalucia|cadiz|Benalup-Casas Viejas|VOX|174|7.46
andalucia|cadiz|Benalup-Casas Viejas|SUMAR|79|3.38
andalucia|cadiz|Benalup-Casas Viejas|PODEMOS|41|1.75
andalucia|cadiz|Benaocaz|FO|3|1
andalucia|cadiz|Benaocaz|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|22|7.38
andalucia|cadiz|Benaocaz|IZQESP|4|1.34
andalucia|cadiz|Benaocaz|PP|133|44.63
andalucia|cadiz|Benaocaz|PSOE|92|30.87
andalucia|cadiz|Benaocaz|VOX|11|3.69
andalucia|cadiz|Benaocaz|SUMAR|11|3.69
andalucia|cadiz|Benaocaz|PODEMOS|7|2.34
andalucia|cadiz|Bornos|FO|2|0.09
andalucia|cadiz|Bornos|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|123|5.9
andalucia|cadiz|Bornos|IZQESP|2|0.09
andalucia|cadiz|Bornos|PP|718|34.45
andalucia|cadiz|Bornos|PSOE|771|36.99
andalucia|cadiz|Bornos|VOX|167|8.01
andalucia|cadiz|Bornos|SUMAR|176|8.44
andalucia|cadiz|Bornos|PODEMOS|42|2.01
andalucia|cadiz|Cádiz|FO|162|0.36
andalucia|cadiz|Cádiz|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1.727|3.83
andalucia|cadiz|Cádiz|IZQESP|158|0.35
andalucia|cadiz|Cádiz|PP|16.335|36.31
andalucia|cadiz|Cádiz|PSOE|16.325|36.29
andalucia|cadiz|Cádiz|VOX|2.994|6.65
andalucia|cadiz|Cádiz|SUMAR|2.901|6.44
andalucia|cadiz|Cádiz|PODEMOS|1.697|3.77
andalucia|cadiz|Castellar de la Frontera|FO|5|0.57
andalucia|cadiz|Castellar de la Frontera|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|26|2.98
andalucia|cadiz|Castellar de la Frontera|IZQESP|0|0
andalucia|cadiz|Castellar de la Frontera|PP|266|30.53
andalucia|cadiz|Castellar de la Frontera|PSOE|380|43.62
andalucia|cadiz|Castellar de la Frontera|VOX|103|11.82
andalucia|cadiz|Castellar de la Frontera|SUMAR|24|2.75
andalucia|cadiz|Castellar de la Frontera|PODEMOS|21|2.41
andalucia|cadiz|Chiclana de la Frontera|FO|72|0.28
andalucia|cadiz|Chiclana de la Frontera|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2.042|8.06
andalucia|cadiz|Chiclana de la Frontera|IZQESP|53|0.2
andalucia|cadiz|Chiclana de la Frontera|PP|9.629|38.01
andalucia|cadiz|Chiclana de la Frontera|PSOE|7.170|28.3
andalucia|cadiz|Chiclana de la Frontera|VOX|3.082|12.16
andalucia|cadiz|Chiclana de la Frontera|SUMAR|1.156|4.56
andalucia|cadiz|Chiclana de la Frontera|PODEMOS|850|3.35
andalucia|cadiz|Chipiona|FO|16|0.27
andalucia|cadiz|Chipiona|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|462|7.95
andalucia|cadiz|Chipiona|IZQESP|9|0.15
andalucia|cadiz|Chipiona|PP|2.170|37.36
andalucia|cadiz|Chipiona|PSOE|1.465|25.22
andalucia|cadiz|Chipiona|VOX|861|14.82
andalucia|cadiz|Chipiona|SUMAR|408|7.02
andalucia|cadiz|Chipiona|PODEMOS|127|2.18
andalucia|cadiz|Conil de la Frontera|FO|22|0.32
andalucia|cadiz|Conil de la Frontera|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|461|6.82
andalucia|cadiz|Conil de la Frontera|IZQESP|19|0.28
andalucia|cadiz|Conil de la Frontera|PP|2.293|33.96
andalucia|cadiz|Conil de la Frontera|PSOE|2.040|30.21
andalucia|cadiz|Conil de la Frontera|VOX|572|8.47
andalucia|cadiz|Conil de la Frontera|SUMAR|683|10.11
andalucia|cadiz|Conil de la Frontera|PODEMOS|260|3.85
andalucia|cadiz|El Bosque|FO|5|0.65
andalucia|cadiz|El Bosque|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|42|5.52
andalucia|cadiz|El Bosque|IZQESP|2|0.26
andalucia|cadiz|El Bosque|PP|352|46.31
andalucia|cadiz|El Bosque|PSOE|198|26.05
andalucia|cadiz|El Bosque|VOX|53|6.97
andalucia|cadiz|El Bosque|SUMAR|39|5.13
