comunidad|provincia|municipio|partido|votos|porcentaje
andalucia|cordoba|Adamuz|FO|0|0
andalucia|cordoba|Adamuz|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|47|2.84
andalucia|cordoba|Adamuz|IZQESP|0|0
andalucia|cordoba|Adamuz|PP|705|42.64
andalucia|cordoba|Adamuz|PSOE|615|37.2
andalucia|cordoba|Adamuz|VOX|111|6.71
andalucia|cordoba|Adamuz|SUMAR|119|7.19
andalucia|cordoba|Adamuz|PODEMOS|20|1.2
andalucia|cordoba|Aguilar de la Frontera|FO|12|0.28
andalucia|cordoba|Aguilar de la Frontera|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|151|3.6
andalucia|cordoba|Aguilar de la Frontera|IZQESP|3|0.07
andalucia|cordoba|Aguilar de la Frontera|PP|1.383|33.03
andalucia|cordoba|Aguilar de la Frontera|PSOE|1.849|44.17
andalucia|cordoba|Aguilar de la Frontera|VOX|289|6.9
andalucia|cordoba|Aguilar de la Frontera|SUMAR|316|7.54
andalucia|cordoba|Aguilar de la Frontera|PODEMOS|49|1.17
andalucia|cordoba|Alcaracejos|FO|0|0
andalucia|cordoba|Alcaracejos|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|19|2.8
andalucia|cordoba|Alcaracejos|IZQESP|0|0
andalucia|cordoba|Alcaracejos|PP|299|44.16
andalucia|cordoba|Alcaracejos|PSOE|273|40.32
andalucia|cordoba|Alcaracejos|VOX|44|6.49
andalucia|cordoba|Alcaracejos|SUMAR|13|1.92
andalucia|cordoba|Alcaracejos|PODEMOS|10|1.47
andalucia|cordoba|Almedinilla|FO|0|0
andalucia|cordoba|Almedinilla|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|34|3.36
andalucia|cordoba|Almedinilla|IZQESP|0|0
andalucia|cordoba|Almedinilla|PP|431|42.71
andalucia|cordoba|Almedinilla|PSOE|398|39.44
andalucia|cordoba|Almedinilla|VOX|100|9.91
andalucia|cordoba|Almedinilla|SUMAR|10|0.99
andalucia|cordoba|Almedinilla|PODEMOS|10|0.99
andalucia|cordoba|Almodóvar del Río|FO|3|0.12
