comunidad|provincia|municipio|partido|votos|porcentaje
andalucia|granada|Agrón|FO|0|0
andalucia|granada|Agrón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|5|5
andalucia|granada|Agrón|IZQESP|0|0
andalucia|granada|Agrón|PP|22|22
andalucia|granada|Agrón|PSOE|64|64
andalucia|granada|Agrón|VOX|4|4
andalucia|granada|Agrón|SUMAR|3|3
andalucia|granada|Agrón|PODEMOS|0|0
andalucia|granada|Alamedilla|FO|0|0
andalucia|granada|Alamedilla|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|6|2.18
andalucia|granada|Alamedilla|IZQESP|0|0
andalucia|granada|Alamedilla|PP|51|18.61
andalucia|granada|Alamedilla|PSOE|180|65.69
andalucia|granada|Alamedilla|VOX|23|8.39
andalucia|granada|Alamedilla|SUMAR|4|1.45
andalucia|granada|Alamedilla|PODEMOS|4|1.45
andalucia|granada|Albolote|FO|21|0.28
andalucia|granada|Albolote|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|588|7.95
andalucia|granada|Albolote|IZQESP|15|0.2
andalucia|granada|Albolote|PP|2.658|35.95
andalucia|granada|Albolote|PSOE|2.203|29.79
andalucia|granada|Albolote|VOX|901|12.18
andalucia|granada|Albolote|SUMAR|452|6.11
andalucia|granada|Albolote|PODEMOS|236|3.19
andalucia|granada|Albondón|FO|0|0
andalucia|granada|Albondón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|8|2.74
andalucia|granada|Albondón|IZQESP|0|0
andalucia|granada|Albondón|PP|136|46.73
andalucia|granada|Albondón|PSOE|102|35.05
andalucia|granada|Albondón|VOX|32|10.99
andalucia|granada|Albondón|SUMAR|2|0.68
andalucia|granada|Albondón|PODEMOS|6|2.06
andalucia|granada|Albuñán|FO|0|0
andalucia|granada|Albuñán|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|6|3.55
andalucia|granada|Albuñán|IZQESP|0|0
andalucia|granada|Albuñán|PP|53|31.36
andalucia|granada|Albuñán|PSOE|74|43.78
andalucia|granada|Albuñán|VOX|11|6.5
andalucia|granada|Albuñán|SUMAR|7|4.14
andalucia|granada|Albuñán|PODEMOS|4|2.36
andalucia|granada|Albuñol|FO|5|0.25
andalucia|granada|Albuñol|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|104|5.38
andalucia|granada|Albuñol|IZQESP|1|0.05
andalucia|granada|Albuñol|PP|658|34.09
andalucia|granada|Albuñol|PSOE|646|33.47
andalucia|granada|Albuñol|VOX|382|19.79
andalucia|granada|Albuñol|SUMAR|41|2.12
andalucia|granada|Albuñol|PODEMOS|40|2.07
andalucia|granada|Albuñuelas|FO|0|0
andalucia|granada|Albuñuelas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|14|4.94
andalucia|granada|Albuñuelas|IZQESP|1|0.35
andalucia|granada|Albuñuelas|PP|104|36.74
andalucia|granada|Albuñuelas|PSOE|120|42.4
andalucia|granada|Albuñuelas|VOX|30|10.6
andalucia|granada|Albuñuelas|SUMAR|3|1.06
andalucia|granada|Albuñuelas|PODEMOS|3|1.06
andalucia|granada|Aldeire|FO|0|0
andalucia|granada|Aldeire|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|17|5.9
andalucia|granada|Aldeire|IZQESP|0|0
andalucia|granada|Aldeire|PP|95|32.98
andalucia|granada|Aldeire|PSOE|112|38.88
andalucia|granada|Aldeire|VOX|26|9.02
andalucia|granada|Aldeire|SUMAR|15|5.2
andalucia|granada|Aldeire|PODEMOS|6|2.08
andalucia|granada|Alfacar|FO|3|0.13
andalucia|granada|Alfacar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|132|6.03
andalucia|granada|Alfacar|IZQESP|5|0.22
andalucia|granada|Alfacar|PP|748|34.18
andalucia|granada|Alfacar|PSOE|835|38.16
andalucia|granada|Alfacar|VOX|217|9.91
andalucia|granada|Alfacar|SUMAR|101|4.61
andalucia|granada|Alfacar|PODEMOS|55|2.51
andalucia|granada|Algarinejo|FO|1|0.1
andalucia|granada|Algarinejo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|31|3.17
andalucia|granada|Algarinejo|IZQESP|0|0
andalucia|granada|Algarinejo|PP|409|41.86
andalucia|granada|Algarinejo|PSOE|370|37.87
andalucia|granada|Algarinejo|VOX|126|12.89
andalucia|granada|Algarinejo|SUMAR|11|1.12
andalucia|granada|Algarinejo|PODEMOS|5|0.51
andalucia|granada|Alhama de Granada|FO|4|0.21
andalucia|granada|Alhama de Granada|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|91|4.91
andalucia|granada|Alhama de Granada|IZQESP|0|0
andalucia|granada|Alhama de Granada|PP|795|42.9
andalucia|granada|Alhama de Granada|PSOE|628|33.89
andalucia|granada|Alhama de Granada|VOX|194|10.46
andalucia|granada|Alhama de Granada|SUMAR|55|2.96
andalucia|granada|Alhama de Granada|PODEMOS|18|0.97
andalucia|granada|Alhendín|FO|15|0.43
andalucia|granada|Alhendín|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|274|8
andalucia|granada|Alhendín|IZQESP|4|0.11
andalucia|granada|Alhendín|PP|1.418|41.4
andalucia|granada|Alhendín|PSOE|915|26.71
andalucia|granada|Alhendín|VOX|411|12
andalucia|granada|Alhendín|SUMAR|157|4.58
andalucia|granada|Alhendín|PODEMOS|86|2.51
andalucia|granada|Alicún de Ortega|FO|0|0
andalucia|granada|Alicún de Ortega|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|6|2.95
andalucia|granada|Alicún de Ortega|IZQESP|0|0
andalucia|granada|Alicún de Ortega|PP|64|31.52
andalucia|granada|Alicún de Ortega|PSOE|91|44.82
andalucia|granada|Alicún de Ortega|VOX|13|6.4
andalucia|granada|Alicún de Ortega|SUMAR|18|8.86
andalucia|granada|Alicún de Ortega|PODEMOS|1|0.49
andalucia|granada|Almegíjar|FO|0|0
andalucia|granada|Almegíjar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|5|3.26
andalucia|granada|Almegíjar|IZQESP|0|0
andalucia|granada|Almegíjar|PP|65|42.48
andalucia|granada|Almegíjar|PSOE|66|43.13
andalucia|granada|Almegíjar|VOX|9|5.88
andalucia|granada|Almegíjar|SUMAR|2|1.3
andalucia|granada|Almegíjar|PODEMOS|1|0.65
andalucia|granada|Almuñécar|FO|15|0.18
andalucia|granada|Almuñécar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|437|5.41
andalucia|granada|Almuñécar|IZQESP|8|0.09
andalucia|granada|Almuñécar|PP|3.529|43.74
andalucia|granada|Almuñécar|PSOE|2.063|25.57
andalucia|granada|Almuñécar|VOX|1.000|12.39
andalucia|granada|Almuñécar|SUMAR|311|3.85
andalucia|granada|Almuñécar|PODEMOS|210|2.6
andalucia|granada|Alpujarra de la Sierra|FO|2|0.51
andalucia|granada|Alpujarra de la Sierra|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|9|2.31
andalucia|granada|Alpujarra de la Sierra|IZQESP|0|0
andalucia|granada|Alpujarra de la Sierra|PP|126|32.47
andalucia|granada|Alpujarra de la Sierra|PSOE|167|43.04
andalucia|granada|Alpujarra de la Sierra|VOX|50|12.88
andalucia|granada|Alpujarra de la Sierra|SUMAR|14|3.6
andalucia|granada|Alpujarra de la Sierra|PODEMOS|6|1.54
andalucia|granada|Alquife|FO|0|0
andalucia|granada|Alquife|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|13|5.2
andalucia|granada|Alquife|IZQESP|0|0
andalucia|granada|Alquife|PP|84|33.6
andalucia|granada|Alquife|PSOE|113|45.2
andalucia|granada|Alquife|VOX|18|7.19
andalucia|granada|Alquife|SUMAR|9|3.59
andalucia|granada|Alquife|PODEMOS|2|0.8
andalucia|granada|Arenas del Rey|FO|0|0
andalucia|granada|Arenas del Rey|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|10|5.34
