comunidad|provincia|municipio|partido|votos|porcentaje
andalucia|huelva|Alájar|FO|1|0.34
andalucia|huelva|Alájar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|11|3.79
andalucia|huelva|Alájar|IZQESP|0|0
andalucia|huelva|Alájar|PP|66|22.75
andalucia|huelva|Alájar|PSOE|134|46.2
andalucia|huelva|Alájar|VOX|25|8.62
andalucia|huelva|Alájar|SUMAR|18|6.2
andalucia|huelva|Alájar|PODEMOS|26|8.96
andalucia|huelva|Aljaraque|FO|19|0.24
andalucia|huelva|Aljaraque|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|521|6.71
andalucia|huelva|Aljaraque|IZQESP|14|0.18
andalucia|huelva|Aljaraque|PP|3.059|39.42
andalucia|huelva|Aljaraque|PSOE|2.082|26.83
andalucia|huelva|Aljaraque|VOX|1.047|13.49
andalucia|huelva|Aljaraque|SUMAR|473|6.09
andalucia|huelva|Aljaraque|PODEMOS|213|2.74
andalucia|huelva|Almonaster la Real|FO|0|0
andalucia|huelva|Almonaster la Real|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|27|4.43
andalucia|huelva|Almonaster la Real|IZQESP|1|0.16
andalucia|huelva|Almonaster la Real|PP|181|29.72
andalucia|huelva|Almonaster la Real|PSOE|255|41.87
andalucia|huelva|Almonaster la Real|VOX|54|8.86
andalucia|huelva|Almonaster la Real|SUMAR|30|4.92
andalucia|huelva|Almonaster la Real|PODEMOS|31|5.09
andalucia|huelva|Almonte|FO|12|0.23
andalucia|huelva|Almonte|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|321|6.15
andalucia|huelva|Almonte|IZQESP|5|0.09
andalucia|huelva|Almonte|PP|1.870|35.87
andalucia|huelva|Almonte|PSOE|1.765|33.86
andalucia|huelva|Almonte|VOX|728|13.96
andalucia|huelva|Almonte|SUMAR|216|4.14
andalucia|huelva|Almonte|PODEMOS|124|2.37
andalucia|huelva|Alosno|FO|1|0.08
andalucia|huelva|Alosno|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|55|4.59
andalucia|huelva|Alosno|IZQESP|0|0
andalucia|huelva|Alosno|PP|313|26.17
andalucia|huelva|Alosno|PSOE|622|52
