comunidad|provincia|municipio|partido|votos|porcentaje
andalucia|jaen|Albanchez de Mágina|FO|2|0.38
andalucia|jaen|Albanchez de Mágina|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|17|3.25
andalucia|jaen|Albanchez de Mágina|IZQESP|0|0
andalucia|jaen|Albanchez de Mágina|PP|166|31.8
andalucia|jaen|Albanchez de Mágina|PSOE|271|51.91
andalucia|jaen|Albanchez de Mágina|VOX|43|8.23
andalucia|jaen|Albanchez de Mágina|SUMAR|6|1.14
andalucia|jaen|Albanchez de Mágina|PODEMOS|5|0.95
andalucia|jaen|Alcalá la Real|FO|23|0.26
andalucia|jaen|Alcalá la Real|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|478|5.48
andalucia|jaen|Alcalá la Real|IZQESP|15|0.17
andalucia|jaen|Alcalá la Real|PP|3.833|44
andalucia|jaen|Alcalá la Real|PSOE|2.545|29.21
andalucia|jaen|Alcalá la Real|VOX|1.098|12.6
andalucia|jaen|Alcalá la Real|SUMAR|268|3.07
andalucia|jaen|Alcalá la Real|PODEMOS|140|1.6
andalucia|jaen|Alcaudete|FO|2|0.04
andalucia|jaen|Alcaudete|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|137|3.27
andalucia|jaen|Alcaudete|IZQESP|2|0.04
andalucia|jaen|Alcaudete|PP|1.695|40.52
andalucia|jaen|Alcaudete|PSOE|1.766|42.21
andalucia|jaen|Alcaudete|VOX|387|9.25
andalucia|jaen|Alcaudete|SUMAR|58|1.38
andalucia|jaen|Alcaudete|PODEMOS|25|0.59
andalucia|jaen|Aldeaquemada|FO|3|1.19
andalucia|jaen|Aldeaquemada|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|0.39
andalucia|jaen|Aldeaquemada|IZQESP|1|0.39
andalucia|jaen|Aldeaquemada|PP|136|54.18
andalucia|jaen|Aldeaquemada|PSOE|75|29.88
andalucia|jaen|Aldeaquemada|VOX|21|8.36
andalucia|jaen|Aldeaquemada|SUMAR|7|2.78
andalucia|jaen|Aldeaquemada|PODEMOS|3|1.19
andalucia|jaen|Andújar|FO|26|0.19
andalucia|jaen|Andújar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|672|5.16
andalucia|jaen|Andújar|IZQESP|13|0.09
andalucia|jaen|Andújar|PP|5.662|43.54
andalucia|jaen|Andújar|PSOE|3.854|29.63
andalucia|jaen|Andújar|VOX|1.696|13.04
andalucia|jaen|Andújar|SUMAR|364|2.79
andalucia|jaen|Andújar|PODEMOS|202|1.55
andalucia|jaen|Arjona|FO|0|0
andalucia|jaen|Arjona|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|78|2.96
andalucia|jaen|Arjona|IZQESP|4|0.15
andalucia|jaen|Arjona|PP|884|33.63
andalucia|jaen|Arjona|PSOE|1.378|52.43
andalucia|jaen|Arjona|VOX|131|4.98
andalucia|jaen|Arjona|SUMAR|38|1.44
andalucia|jaen|Arjona|PODEMOS|21|0.79
andalucia|jaen|Arjonilla|FO|3|0.19
andalucia|jaen|Arjonilla|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|66|4.38
andalucia|jaen|Arjonilla|IZQESP|0|0
andalucia|jaen|Arjonilla|PP|567|37.67
andalucia|jaen|Arjonilla|PSOE|554|36.81
andalucia|jaen|Arjonilla|VOX|198|13.15
andalucia|jaen|Arjonilla|SUMAR|23|1.52
andalucia|jaen|Arjonilla|PODEMOS|14|0.93
andalucia|jaen|Arquillos|FO|2|0.32
andalucia|jaen|Arquillos|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|20|3.22
andalucia|jaen|Arquillos|IZQESP|0|0
andalucia|jaen|Arquillos|PP|139|22.38
andalucia|jaen|Arquillos|PSOE|372|59.9
andalucia|jaen|Arquillos|VOX|33|5.31
andalucia|jaen|Arquillos|SUMAR|25|4.02
andalucia|jaen|Arquillos|PODEMOS|11|1.77
andalucia|jaen|Arroyo del Ojanco|FO|0|0
andalucia|jaen|Arroyo del Ojanco|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|37|4.48
andalucia|jaen|Arroyo del Ojanco|IZQESP|0|0
andalucia|jaen|Arroyo del Ojanco|PP|344|41.69
andalucia|jaen|Arroyo del Ojanco|PSOE|293|35.51
andalucia|jaen|Arroyo del Ojanco|VOX|125|15.15
andalucia|jaen|Arroyo del Ojanco|SUMAR|12|1.45
andalucia|jaen|Arroyo del Ojanco|PODEMOS|2|0.24
andalucia|jaen|Baeza|FO|13|0.18
andalucia|jaen|Baeza|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|325|4.69
andalucia|jaen|Baeza|IZQESP|8|0.11
andalucia|jaen|Baeza|PP|3.215|46.42
andalucia|jaen|Baeza|PSOE|1.998|28.85
andalucia|jaen|Baeza|VOX|851|12.28
andalucia|jaen|Baeza|SUMAR|182|2.62
andalucia|jaen|Baeza|PODEMOS|63|0.9
andalucia|jaen|Bailén|FO|8|0.13
andalucia|jaen|Bailén|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|293|4.88
andalucia|jaen|Bailén|IZQESP|7|0.11
andalucia|jaen|Bailén|PP|2.663|44.35
andalucia|jaen|Bailén|PSOE|1.989|33.12
andalucia|jaen|Bailén|VOX|676|11.25
andalucia|jaen|Bailén|SUMAR|155|2.58
andalucia|jaen|Bailén|PODEMOS|84|1.39
andalucia|jaen|Baños de la Encina|FO|3|0.28
andalucia|jaen|Baños de la Encina|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|34|3.2
andalucia|jaen|Baños de la Encina|IZQESP|0|0
andalucia|jaen|Baños de la Encina|PP|292|27.49
andalucia|jaen|Baños de la Encina|PSOE|569|53.57
andalucia|jaen|Baños de la Encina|VOX|74|6.96
andalucia|jaen|Baños de la Encina|SUMAR|43|4.04
andalucia|jaen|Baños de la Encina|PODEMOS|23|2.16
andalucia|jaen|Beas de Segura|FO|3|0.16
andalucia|jaen|Beas de Segura|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|60|3.22
andalucia|jaen|Beas de Segura|IZQESP|0|0
andalucia|jaen|Beas de Segura|PP|706|37.89
andalucia|jaen|Beas de Segura|PSOE|765|41.06
andalucia|jaen|Beas de Segura|VOX|245|13.15
andalucia|jaen|Beas de Segura|SUMAR|24|1.28
andalucia|jaen|Beas de Segura|PODEMOS|18|0.96
andalucia|jaen|Bedmar y Garcíez|FO|1|0.07
andalucia|jaen|Bedmar y Garcíez|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|12|0.9
andalucia|jaen|Bedmar y Garcíez|IZQESP|0|0
andalucia|jaen|Bedmar y Garcíez|PP|394|29.6
andalucia|jaen|Bedmar y Garcíez|PSOE|773|58.07
andalucia|jaen|Bedmar y Garcíez|VOX|99|7.43
andalucia|jaen|Bedmar y Garcíez|SUMAR|20|1.5
andalucia|jaen|Bedmar y Garcíez|PODEMOS|11|0.82
andalucia|jaen|Begíjar|FO|0|0
andalucia|jaen|Begíjar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|24|1.84
andalucia|jaen|Begíjar|IZQESP|0|0
andalucia|jaen|Begíjar|PP|497|38.17
andalucia|jaen|Begíjar|PSOE|525|40.32
andalucia|jaen|Begíjar|VOX|147|11.29
andalucia|jaen|Begíjar|SUMAR|59|4.53
andalucia|jaen|Begíjar|PODEMOS|12|0.92
andalucia|jaen|Bélmez de la Moraleda|FO|0|0
andalucia|jaen|Bélmez de la Moraleda|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|23|3.24
andalucia|jaen|Bélmez de la Moraleda|IZQESP|1|0.14
andalucia|jaen|Bélmez de la Moraleda|PP|277|39.06
andalucia|jaen|Bélmez de la Moraleda|PSOE|311|43.86
