comunidad|provincia|municipio|partido|votos|porcentaje
andalucia|malaga|Alameda|FO|1|0.05
andalucia|malaga|Alameda|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|66|3.63
andalucia|malaga|Alameda|IZQESP|1|0.05
andalucia|malaga|Alameda|PP|460|25.31
andalucia|malaga|Alameda|PSOE|870|47.88
andalucia|malaga|Alameda|VOX|85|4.67
andalucia|malaga|Alameda|SUMAR|236|12.98
andalucia|malaga|Alameda|PODEMOS|50|2.75
andalucia|malaga|Alcaucín|FO|2|0.38
andalucia|malaga|Alcaucín|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|34|6.56
andalucia|malaga|Alcaucín|IZQESP|0|0
andalucia|malaga|Alcaucín|PP|170|32.81
andalucia|malaga|Alcaucín|PSOE|186|35.9
andalucia|malaga|Alcaucín|VOX|68|13.12
andalucia|malaga|Alcaucín|SUMAR|12|2.31
andalucia|malaga|Alcaucín|PODEMOS|18|3.47
andalucia|malaga|Alfarnate|FO|1|0.21
andalucia|malaga|Alfarnate|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|19|4.06
andalucia|malaga|Alfarnate|IZQESP|2|0.42
andalucia|malaga|Alfarnate|PP|145|31.04
andalucia|malaga|Alfarnate|PSOE|212|45.39
andalucia|malaga|Alfarnate|VOX|39|8.35
andalucia|malaga|Alfarnate|SUMAR|30|6.42
andalucia|malaga|Alfarnate|PODEMOS|8|1.71
andalucia|malaga|Alfarnatejo|FO|1|0.71
andalucia|malaga|Alfarnatejo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|12|8.63
andalucia|malaga|Alfarnatejo|IZQESP|0|0
andalucia|malaga|Alfarnatejo|PP|56|40.28
andalucia|malaga|Alfarnatejo|PSOE|48|34.53
andalucia|malaga|Alfarnatejo|VOX|13|9.35
andalucia|malaga|Alfarnatejo|SUMAR|0|0
andalucia|malaga|Alfarnatejo|PODEMOS|2|1.43
andalucia|malaga|Algarrobo|FO|4|0.19
andalucia|malaga|Algarrobo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|211|10.45
andalucia|malaga|Algarrobo|IZQESP|2|0.09
andalucia|malaga|Algarrobo|PP|811|40.18
andalucia|malaga|Algarrobo|PSOE|540|26.75
andalucia|malaga|Algarrobo|VOX|280|13.87
andalucia|malaga|Algarrobo|SUMAR|61|3.02
andalucia|malaga|Algarrobo|PODEMOS|36|1.78
andalucia|malaga|Algatocín|FO|1|0.36
andalucia|malaga|Algatocín|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|7|2.56
andalucia|malaga|Algatocín|IZQESP|0|0
andalucia|malaga|Algatocín|PP|97|35.53
andalucia|malaga|Algatocín|PSOE|115|42.12
andalucia|malaga|Algatocín|VOX|36|13.18
andalucia|malaga|Algatocín|SUMAR|5|1.83
