comunidad|provincia|municipio|partido|votos|porcentaje
andalucia|sevilla|Sevilla|FO|2.309|0.31
andalucia|sevilla|Sevilla|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|45.640|6.3
andalucia|sevilla|Sevilla|IZQESP|1.604|0.22
andalucia|sevilla|Sevilla|PP|250.866|34.63
andalucia|sevilla|Sevilla|PSOE|249.485|34.44
andalucia|sevilla|Sevilla|VOX|69.622|9.61
andalucia|sevilla|Sevilla|SUMAR|43.230|5.96
andalucia|sevilla|Sevilla|PODEMOS|25.275|3.48
andalucia|sevilla|Aguadulce|FO|0|0
andalucia|sevilla|Aguadulce|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|18|2.45
andalucia|sevilla|Aguadulce|IZQESP|0|0
andalucia|sevilla|Aguadulce|PP|205|28
andalucia|sevilla|Aguadulce|PSOE|325|44.39
andalucia|sevilla|Aguadulce|VOX|46|6.28
andalucia|sevilla|Aguadulce|SUMAR|41|5.6
andalucia|sevilla|Aguadulce|PODEMOS|73|9.97
andalucia|sevilla|Alanís|FO|3|0.49
andalucia|sevilla|Alanís|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|10|1.65
andalucia|sevilla|Alanís|IZQESP|1|0.16
andalucia|sevilla|Alanís|PP|258|42.57
andalucia|sevilla|Alanís|PSOE|232|38.28
andalucia|sevilla|Alanís|VOX|60|9.9
andalucia|sevilla|Alanís|SUMAR|13|2.14
andalucia|sevilla|Alanís|PODEMOS|4|0.66
andalucia|sevilla|Albaida del Aljarafe|FO|2|0.17
andalucia|sevilla|Albaida del Aljarafe|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|60|5.26
andalucia|sevilla|Albaida del Aljarafe|IZQESP|4|0.35
andalucia|sevilla|Albaida del Aljarafe|PP|477|41.87
andalucia|sevilla|Albaida del Aljarafe|PSOE|439|38.54
andalucia|sevilla|Albaida del Aljarafe|VOX|63|5.53
andalucia|sevilla|Albaida del Aljarafe|SUMAR|36|3.16
andalucia|sevilla|Albaida del Aljarafe|PODEMOS|20|1.75
andalucia|sevilla|Alcalá de Guadaíra|FO|105|0.41
andalucia|sevilla|Alcalá de Guadaíra|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2.101|8.24
andalucia|sevilla|Alcalá de Guadaíra|IZQESP|60|0.23
andalucia|sevilla|Alcalá de Guadaíra|PP|8.005|31.4
andalucia|sevilla|Alcalá de Guadaíra|PSOE|8.392|32.92
andalucia|sevilla|Alcalá de Guadaíra|VOX|2.775|10.88
andalucia|sevilla|Alcalá de Guadaíra|SUMAR|1.435|5.62
andalucia|sevilla|Alcalá de Guadaíra|PODEMOS|830|3.25
andalucia|sevilla|Alcalá del Río|FO|18|0.41
andalucia|sevilla|Alcalá del Río|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|342|7.96
andalucia|sevilla|Alcalá del Río|IZQESP|7|0.16
andalucia|sevilla|Alcalá del Río|PP|1.410|32.84
andalucia|sevilla|Alcalá del Río|PSOE|1.370|31.91
andalucia|sevilla|Alcalá del Río|VOX|439|10.22
andalucia|sevilla|Alcalá del Río|SUMAR|448|10.43
andalucia|sevilla|Alcalá del Río|PODEMOS|94|2.18
andalucia|sevilla|Alcolea del Río|FO|0|0
andalucia|sevilla|Alcolea del Río|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|52|5.62
andalucia|sevilla|Alcolea del Río|IZQESP|0|0
andalucia|sevilla|Alcolea del Río|PP|270|29.18
andalucia|sevilla|Alcolea del Río|PSOE|444|48
andalucia|sevilla|Alcolea del Río|VOX|82|8.86
andalucia|sevilla|Alcolea del Río|SUMAR|32|3.45
andalucia|sevilla|Alcolea del Río|PODEMOS|15|1.62
andalucia|sevilla|Algámitas|FO|0|0
andalucia|sevilla|Algámitas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|13|2.64
andalucia|sevilla|Algámitas|IZQESP|0|0
andalucia|sevilla|Algámitas|PP|101|20.57
andalucia|sevilla|Algámitas|PSOE|272|55.39
andalucia|sevilla|Algámitas|VOX|55|11.2
andalucia|sevilla|Algámitas|SUMAR|19|3.86
andalucia|sevilla|Algámitas|PODEMOS|13|2.64
andalucia|sevilla|Almadén de la Plata|FO|5|1.05
andalucia|sevilla|Almadén de la Plata|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|14|2.95
andalucia|sevilla|Almadén de la Plata|IZQESP|0|0
andalucia|sevilla|Almadén de la Plata|PP|201|42.4
andalucia|sevilla|Almadén de la Plata|PSOE|180|37.97
andalucia|sevilla|Almadén de la Plata|VOX|52|10.97
andalucia|sevilla|Almadén de la Plata|SUMAR|5|1.05
andalucia|sevilla|Almadén de la Plata|PODEMOS|6|1.26
andalucia|sevilla|Almensilla|FO|7|0.32
andalucia|sevilla|Almensilla|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|174|8.04
andalucia|sevilla|Almensilla|IZQESP|7|0.32
andalucia|sevilla|Almensilla|PP|617|28.51
andalucia|sevilla|Almensilla|PSOE|674|31.14
andalucia|sevilla|Almensilla|VOX|231|10.67
andalucia|sevilla|Almensilla|SUMAR|210|9.7
andalucia|sevilla|Almensilla|PODEMOS|101|4.66
andalucia|sevilla|Arahal|FO|17|0.28
andalucia|sevilla|Arahal|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|310|5.17
andalucia|sevilla|Arahal|IZQESP|25|0.41
andalucia|sevilla|Arahal|PP|1.662|27.76
andalucia|sevilla|Arahal|PSOE|2.627|43.89
andalucia|sevilla|Arahal|VOX|346|5.78
andalucia|sevilla|Arahal|SUMAR|563|9.4
andalucia|sevilla|Arahal|PODEMOS|156|2.6
