comunidad|provincia|municipio|partido|votos|porcentaje
aragon|huesca|Abiego|FO|1|0.81
aragon|huesca|Abiego|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
aragon|huesca|Abiego|IZQESP|3|2.45
aragon|huesca|Abiego|PP|60|49.18
aragon|huesca|Abiego|PSOE|24|19.67
aragon|huesca|Abiego|VOX|10|8.19
aragon|huesca|Abiego|SUMAR|5|4.09
aragon|huesca|Abiego|PODEMOS|3|2.45
aragon|huesca|Abizanda|FO|2|2.7
aragon|huesca|Abizanda|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|1.35
aragon|huesca|Abizanda|IZQESP|0|0
aragon|huesca|Abizanda|PP|35|47.29
aragon|huesca|Abizanda|PSOE|23|31.08
aragon|huesca|Abizanda|VOX|6|8.1
aragon|huesca|Abizanda|SUMAR|1|1.35
aragon|huesca|Abizanda|PODEMOS|4|5.4
aragon|huesca|Adahuesca|FO|1|0.99
aragon|huesca|Adahuesca|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|1.98
aragon|huesca|Adahuesca|IZQESP|3|2.97
aragon|huesca|Adahuesca|PP|52|51.48
aragon|huesca|Adahuesca|PSOE|19|18.81
aragon|huesca|Adahuesca|VOX|11|10.89
aragon|huesca|Adahuesca|SUMAR|5|4.95
aragon|huesca|Adahuesca|PODEMOS|2|1.98
aragon|huesca|Agüero|FO|0|0
aragon|huesca|Agüero|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3|4.16
aragon|huesca|Agüero|IZQESP|0|0
aragon|huesca|Agüero|PP|17|23.61
aragon|huesca|Agüero|PSOE|16|22.22
aragon|huesca|Agüero|VOX|11|15.27
aragon|huesca|Agüero|SUMAR|7|9.72
aragon|huesca|Agüero|PODEMOS|5|6.94
aragon|huesca|Aínsa-Sobrarbe|FO|1|0.13
aragon|huesca|Aínsa-Sobrarbe|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|35|4.55
aragon|huesca|Aínsa-Sobrarbe|IZQESP|3|0.39
aragon|huesca|Aínsa-Sobrarbe|PP|262|34.11
aragon|huesca|Aínsa-Sobrarbe|PSOE|245|31.9
aragon|huesca|Aínsa-Sobrarbe|VOX|58|7.55
aragon|huesca|Aínsa-Sobrarbe|SUMAR|77|10.02
aragon|huesca|Aínsa-Sobrarbe|PODEMOS|38|4.94
aragon|huesca|Aisa|FO|0|0
aragon|huesca|Aisa|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3|2.38
aragon|huesca|Aisa|IZQESP|0|0
aragon|huesca|Aisa|PP|26|20.63
aragon|huesca|Aisa|PSOE|59|46.82
aragon|huesca|Aisa|VOX|9|7.14
aragon|huesca|Aisa|SUMAR|9|7.14
aragon|huesca|Aisa|PODEMOS|6|4.76
aragon|huesca|Albalate de Cinca|FO|1|0.25
aragon|huesca|Albalate de Cinca|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|8|2.03
aragon|huesca|Albalate de Cinca|IZQESP|0|0
aragon|huesca|Albalate de Cinca|PP|165|41.87
aragon|huesca|Albalate de Cinca|PSOE|126|31.97
aragon|huesca|Albalate de Cinca|VOX|63|15.98
aragon|huesca|Albalate de Cinca|SUMAR|11|2.79
aragon|huesca|Albalate de Cinca|PODEMOS|3|0.76
aragon|huesca|Albalatillo|FO|0|0
aragon|huesca|Albalatillo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
aragon|huesca|Albalatillo|IZQESP|0|0
aragon|huesca|Albalatillo|PP|37|45.67
aragon|huesca|Albalatillo|PSOE|25|30.86
aragon|huesca|Albalatillo|VOX|4|4.93
aragon|huesca|Albalatillo|SUMAR|8|9.87
aragon|huesca|Albalatillo|PODEMOS|0|0
aragon|huesca|Albelda|FO|2|0.7
aragon|huesca|Albelda|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|13|4.59
aragon|huesca|Albelda|IZQESP|0|0
aragon|huesca|Albelda|PP|82|28.97
aragon|huesca|Albelda|PSOE|117|41.34
aragon|huesca|Albelda|VOX|28|9.89
aragon|huesca|Albelda|SUMAR|8|2.82
aragon|huesca|Albelda|PODEMOS|6|2.12
aragon|huesca|Albero Alto|FO|1|1.88
aragon|huesca|Albero Alto|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|8|15.09
aragon|huesca|Albero Alto|IZQESP|0|0
aragon|huesca|Albero Alto|PP|20|37.73
aragon|huesca|Albero Alto|PSOE|14|26.41
aragon|huesca|Albero Alto|VOX|6|11.32
aragon|huesca|Albero Alto|SUMAR|2|3.77
aragon|huesca|Albero Alto|PODEMOS|0|0
aragon|huesca|Albero Bajo|FO|0|0
aragon|huesca|Albero Bajo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|8|13.33
aragon|huesca|Albero Bajo|IZQESP|0|0
aragon|huesca|Albero Bajo|PP|27|45
aragon|huesca|Albero Bajo|PSOE|14|23.33
aragon|huesca|Albero Bajo|VOX|5|8.33
aragon|huesca|Albero Bajo|SUMAR|2|3.33
aragon|huesca|Albero Bajo|PODEMOS|0|0
aragon|huesca|Alberuela de Tubo|FO|1|0.64
aragon|huesca|Alberuela de Tubo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|7|4.51
aragon|huesca|Alberuela de Tubo|IZQESP|0|0
aragon|huesca|Alberuela de Tubo|PP|65|41.93
aragon|huesca|Alberuela de Tubo|PSOE|56|36.12
aragon|huesca|Alberuela de Tubo|VOX|17|10.96
aragon|huesca|Alberuela de Tubo|SUMAR|2|1.29
aragon|huesca|Alberuela de Tubo|PODEMOS|2|1.29
aragon|huesca|Alcalá de Gurrea|FO|2|1.6
