comunidad|provincia|municipio|partido|votos|porcentaje
aragon|teruel|Ababuj|FO|0|0
aragon|teruel|Ababuj|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|7|17.07
aragon|teruel|Ababuj|IZQESP|0|0
aragon|teruel|Ababuj|PP|13|31.7
aragon|teruel|Ababuj|PSOE|5|12.19
aragon|teruel|Ababuj|VOX|2|4.87
aragon|teruel|Ababuj|SUMAR|0|0
aragon|teruel|Ababuj|PODEMOS|0|0
aragon|teruel|Abejuela|FO|0|0
aragon|teruel|Abejuela|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
aragon|teruel|Abejuela|IZQESP|0|0
aragon|teruel|Abejuela|PP|16|44.44
aragon|teruel|Abejuela|PSOE|15|41.66
aragon|teruel|Abejuela|VOX|2|5.55
aragon|teruel|Abejuela|SUMAR|2|5.55
aragon|teruel|Abejuela|PODEMOS|1|2.77
aragon|teruel|Aguatón|FO|0|0
aragon|teruel|Aguatón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
aragon|teruel|Aguatón|IZQESP|1|6.25
aragon|teruel|Aguatón|PP|11|68.75
aragon|teruel|Aguatón|PSOE|2|12.5
aragon|teruel|Aguatón|VOX|-|-
aragon|teruel|Aguatón|SUMAR|0|0
aragon|teruel|Aguatón|PODEMOS|0|0
aragon|teruel|Aguaviva|FO|2|0.84
aragon|teruel|Aguaviva|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|13|5.46
aragon|teruel|Aguaviva|IZQESP|0|0
aragon|teruel|Aguaviva|PP|87|36.55
aragon|teruel|Aguaviva|PSOE|64|26.89
aragon|teruel|Aguaviva|VOX|29|12.18
aragon|teruel|Aguaviva|SUMAR|6|2.52
aragon|teruel|Aguaviva|PODEMOS|8|3.36
aragon|teruel|Aguilar del Alfambra|FO|0|0
aragon|teruel|Aguilar del Alfambra|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|5|16.12
aragon|teruel|Aguilar del Alfambra|IZQESP|0|0
aragon|teruel|Aguilar del Alfambra|PP|11|35.48
aragon|teruel|Aguilar del Alfambra|PSOE|3|9.67
aragon|teruel|Aguilar del Alfambra|VOX|6|19.35
aragon|teruel|Aguilar del Alfambra|SUMAR|0|0
