comunidad|provincia|municipio|partido|votos|porcentaje
canarias|laspalmas|Agaete|FO|16|0.73
canarias|laspalmas|Agaete|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|96|4.42
canarias|laspalmas|Agaete|IZQESP|2|0.09
canarias|laspalmas|Agaete|PP|643|29.61
canarias|laspalmas|Agaete|PSOE|925|42.6
canarias|laspalmas|Agaete|VOX|147|6.77
canarias|laspalmas|Agaete|SUMAR|95|4.37
canarias|laspalmas|Agaete|PODEMOS|101|4.65
canarias|laspalmas|Agüimes|FO|45|0.4
canarias|laspalmas|Agüimes|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|819|7.4
canarias|laspalmas|Agüimes|IZQESP|29|0.26
canarias|laspalmas|Agüimes|PP|2.967|26.81
canarias|laspalmas|Agüimes|PSOE|3.240|29.28
canarias|laspalmas|Agüimes|VOX|1.788|16.15
canarias|laspalmas|Agüimes|SUMAR|750|6.77
canarias|laspalmas|Agüimes|PODEMOS|359|3.24
canarias|laspalmas|Antigua|FO|8|0.35
canarias|laspalmas|Antigua|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|188|8.36
canarias|laspalmas|Antigua|IZQESP|6|0.26
canarias|laspalmas|Antigua|PP|619|27.53
canarias|laspalmas|Antigua|PSOE|568|25.26
canarias|laspalmas|Antigua|VOX|337|14.99
canarias|laspalmas|Antigua|SUMAR|68|3.02
canarias|laspalmas|Antigua|PODEMOS|56|2.49
canarias|laspalmas|Arrecife|FO|34|0.25
canarias|laspalmas|Arrecife|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|630|4.65
canarias|laspalmas|Arrecife|IZQESP|10|0.07
canarias|laspalmas|Arrecife|PP|3.528|26.09
canarias|laspalmas|Arrecife|PSOE|4.986|36.87
canarias|laspalmas|Arrecife|VOX|1.604|11.86
canarias|laspalmas|Arrecife|SUMAR|606|4.48
canarias|laspalmas|Arrecife|PODEMOS|445|3.29
canarias|laspalmas|Artenara|FO|1|0.21
canarias|laspalmas|Artenara|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|15|3.29
canarias|laspalmas|Artenara|IZQESP|0|0
canarias|laspalmas|Artenara|PP|197|43.29
canarias|laspalmas|Artenara|PSOE|145|31.86
canarias|laspalmas|Artenara|VOX|37|8.13
canarias|laspalmas|Artenara|SUMAR|28|6.15
canarias|laspalmas|Artenara|PODEMOS|6|1.31
canarias|laspalmas|Arucas|FO|44|0.29
canarias|laspalmas|Arucas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1.027|6.87
canarias|laspalmas|Arucas|IZQESP|11|0.07
canarias|laspalmas|Arucas|PP|3.951|26.44
canarias|laspalmas|Arucas|PSOE|5.378|35.99
canarias|laspalmas|Arucas|VOX|1.824|12.2
canarias|laspalmas|Arucas|SUMAR|685|4.58
canarias|laspalmas|Arucas|PODEMOS|472|3.15
canarias|laspalmas|Betancuria|FO|0|0
canarias|laspalmas|Betancuria|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|35|13.72
canarias|laspalmas|Betancuria|IZQESP|0|0
canarias|laspalmas|Betancuria|PP|54|21.17
canarias|laspalmas|Betancuria|PSOE|58|22.74
canarias|laspalmas|Betancuria|VOX|19|7.45
canarias|laspalmas|Betancuria|SUMAR|3|1.17
canarias|laspalmas|Betancuria|PODEMOS|8|3.13
canarias|laspalmas|Firgas|FO|11|0.35
canarias|laspalmas|Firgas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|229|7.41
canarias|laspalmas|Firgas|IZQESP|2|0.06
canarias|laspalmas|Firgas|PP|968|31.33
canarias|laspalmas|Firgas|PSOE|984|31.85
canarias|laspalmas|Firgas|VOX|363|11.75
canarias|laspalmas|Firgas|SUMAR|112|3.62
canarias|laspalmas|Firgas|PODEMOS|97|3.14
canarias|laspalmas|Gáldar|FO|19|0.2
canarias|laspalmas|Gáldar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|554|5.91
canarias|laspalmas|Gáldar|IZQESP|20|0.21
canarias|laspalmas|Gáldar|PP|2.669|28.49
canarias|laspalmas|Gáldar|PSOE|3.268|34.88
canarias|laspalmas|Gáldar|VOX|1.101|11.75
canarias|laspalmas|Gáldar|SUMAR|393|4.19
canarias|laspalmas|Gáldar|PODEMOS|246|2.62
canarias|laspalmas|Haría|FO|11|0.66
canarias|laspalmas|Haría|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|67|4.04
canarias|laspalmas|Haría|IZQESP|0|0
canarias|laspalmas|Haría|PP|388|23.4
canarias|laspalmas|Haría|PSOE|554|33.41
canarias|laspalmas|Haría|VOX|186|11.21
canarias|laspalmas|Haría|SUMAR|112|6.75
canarias|laspalmas|Haría|PODEMOS|58|3.49
canarias|laspalmas|Ingenio|FO|48|0.43
canarias|laspalmas|Ingenio|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|818|7.44
canarias|laspalmas|Ingenio|IZQESP|11|0.1
canarias|laspalmas|Ingenio|PP|3.034|27.61
canarias|laspalmas|Ingenio|PSOE|3.242|29.51
canarias|laspalmas|Ingenio|VOX|1.958|17.82
canarias|laspalmas|Ingenio|SUMAR|506|4.6
canarias|laspalmas|Ingenio|PODEMOS|262|2.38
canarias|laspalmas|La Aldea de San Nicolás|FO|6|0.23
canarias|laspalmas|La Aldea de San Nicolás|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|57|2.2
canarias|laspalmas|La Aldea de San Nicolás|IZQESP|1|0.03
