comunidad|provincia|municipio|partido|votos|porcentaje
canarias|santacruz|Adeje|FO|25|0.35
canarias|santacruz|Adeje|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|579|8.23
canarias|santacruz|Adeje|IZQESP|2|0.02
canarias|santacruz|Adeje|PP|1.921|27.31
canarias|santacruz|Adeje|PSOE|2.227|31.66
canarias|santacruz|Adeje|VOX|962|13.67
canarias|santacruz|Adeje|SUMAR|217|3.08
canarias|santacruz|Adeje|PODEMOS|229|3.25
canarias|santacruz|Agulo|FO|1|0.27
canarias|santacruz|Agulo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|10|2.73
canarias|santacruz|Agulo|IZQESP|0|0
canarias|santacruz|Agulo|PP|83|22.67
canarias|santacruz|Agulo|PSOE|146|39.89
canarias|santacruz|Agulo|VOX|36|9.83
canarias|santacruz|Agulo|SUMAR|8|2.18
canarias|santacruz|Agulo|PODEMOS|6|1.63
canarias|santacruz|Alajeró|FO|4|0.69
canarias|santacruz|Alajeró|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|18|3.1
canarias|santacruz|Alajeró|IZQESP|1|0.17
canarias|santacruz|Alajeró|PP|150|25.9
canarias|santacruz|Alajeró|PSOE|264|45.59
canarias|santacruz|Alajeró|VOX|42|7.25
canarias|santacruz|Alajeró|SUMAR|19|3.28
canarias|santacruz|Alajeró|PODEMOS|19|3.28
canarias|santacruz|Arafo|FO|5|0.24
canarias|santacruz|Arafo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|126|6.25
canarias|santacruz|Arafo|IZQESP|2|0.09
canarias|santacruz|Arafo|PP|510|25.33
canarias|santacruz|Arafo|PSOE|619|30.75
canarias|santacruz|Arafo|VOX|259|12.86
canarias|santacruz|Arafo|SUMAR|75|3.72
canarias|santacruz|Arafo|PODEMOS|73|3.62
canarias|santacruz|Arico|FO|7|0.3
canarias|santacruz|Arico|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|148|6.37
canarias|santacruz|Arico|IZQESP|1|0.04
canarias|santacruz|Arico|PP|469|20.21
canarias|santacruz|Arico|PSOE|781|33.66
canarias|santacruz|Arico|VOX|282|12.15
canarias|santacruz|Arico|SUMAR|56|2.41
canarias|santacruz|Arico|PODEMOS|56|2.41
canarias|santacruz|Arona|FO|49|0.35
canarias|santacruz|Arona|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1.040|7.54
canarias|santacruz|Arona|IZQESP|12|0.08
canarias|santacruz|Arona|PP|3.922|28.47
canarias|santacruz|Arona|PSOE|4.007|29.08
canarias|santacruz|Arona|VOX|2.152|15.62
canarias|santacruz|Arona|SUMAR|407|2.95
canarias|santacruz|Arona|PODEMOS|389|2.82
canarias|santacruz|Barlovento|FO|2|0.25
canarias|santacruz|Barlovento|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|19|2.43
canarias|santacruz|Barlovento|IZQESP|0|0
canarias|santacruz|Barlovento|PP|319|40.89
canarias|santacruz|Barlovento|PSOE|221|28.33
canarias|santacruz|Barlovento|VOX|85|10.89
canarias|santacruz|Barlovento|SUMAR|12|1.53
canarias|santacruz|Barlovento|PODEMOS|16|2.05
canarias|santacruz|Breña Alta|FO|8|0.3
canarias|santacruz|Breña Alta|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|73|2.74
canarias|santacruz|Breña Alta|IZQESP|7|0.26
canarias|santacruz|Breña Alta|PP|830|31.2
canarias|santacruz|Breña Alta|PSOE|828|31.12
canarias|santacruz|Breña Alta|VOX|209|7.85
canarias|santacruz|Breña Alta|SUMAR|46|1.72
canarias|santacruz|Breña Alta|PODEMOS|65|2.44
canarias|santacruz|Breña Baja|FO|6|0.28
canarias|santacruz|Breña Baja|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|104|4.94
canarias|santacruz|Breña Baja|IZQESP|1|0.04
canarias|santacruz|Breña Baja|PP|776|36.86
canarias|santacruz|Breña Baja|PSOE|553|26.27
canarias|santacruz|Breña Baja|VOX|175|8.31
canarias|santacruz|Breña Baja|SUMAR|60|2.85
canarias|santacruz|Breña Baja|PODEMOS|59|2.8
canarias|santacruz|Buenavista del Norte|FO|6|0.37
canarias|santacruz|Buenavista del Norte|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|60|3.71
canarias|santacruz|Buenavista del Norte|IZQESP|2|0.12
canarias|santacruz|Buenavista del Norte|PP|488|30.17
canarias|santacruz|Buenavista del Norte|PSOE|604|37.35
canarias|santacruz|Buenavista del Norte|VOX|134|8.28
canarias|santacruz|Buenavista del Norte|SUMAR|55|3.4
canarias|santacruz|Buenavista del Norte|PODEMOS|77|4.76
canarias|santacruz|Candelaria|FO|21|0.21
canarias|santacruz|Candelaria|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|687|6.99
canarias|santacruz|Candelaria|IZQESP|16|0.16
canarias|santacruz|Candelaria|PP|2.864|29.16
canarias|santacruz|Candelaria|PSOE|2.860|29.12
canarias|santacruz|Candelaria|VOX|1.154|11.75
canarias|santacruz|Candelaria|SUMAR|411|4.18
canarias|santacruz|Candelaria|PODEMOS|317|3.22
canarias|santacruz|El Paso|FO|2|0.07
canarias|santacruz|El Paso|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|85|3.23
canarias|santacruz|El Paso|IZQESP|1|0.03
canarias|santacruz|El Paso|PP|741|28.21
canarias|santacruz|El Paso|PSOE|539|20.52
canarias|santacruz|El Paso|VOX|186|7.08
canarias|santacruz|El Paso|SUMAR|59|2.24
canarias|santacruz|El Paso|PODEMOS|57|2.17
canarias|santacruz|El Pinar de El Hierro|FO|1|0.16
canarias|santacruz|El Pinar de El Hierro|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|43|7.25
canarias|santacruz|El Pinar de El Hierro|IZQESP|2|0.33
canarias|santacruz|El Pinar de El Hierro|PP|142|23.94
canarias|santacruz|El Pinar de El Hierro|PSOE|184|31.02
canarias|santacruz|El Pinar de El Hierro|VOX|69|11.63
canarias|santacruz|El Pinar de El Hierro|SUMAR|21|3.54
canarias|santacruz|El Pinar de El Hierro|PODEMOS|18|3.03
canarias|santacruz|El Rosario|FO|17|0.25
canarias|santacruz|El Rosario|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|542|8.27
canarias|santacruz|El Rosario|IZQESP|7|0.1
canarias|santacruz|El Rosario|PP|1.935|29.56
canarias|santacruz|El Rosario|PSOE|1.701|25.98
canarias|santacruz|El Rosario|VOX|855|13.06
canarias|santacruz|El Rosario|SUMAR|264|4.03
canarias|santacruz|El Rosario|PODEMOS|244|3.72
canarias|santacruz|El Sauzal|FO|10|0.28
canarias|santacruz|El Sauzal|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|187|5.36
canarias|santacruz|El Sauzal|IZQESP|2|0.05
canarias|santacruz|El Sauzal|PP|789|22.63
canarias|santacruz|El Sauzal|PSOE|857|24.58
canarias|santacruz|El Sauzal|VOX|329|9.43
canarias|santacruz|El Sauzal|SUMAR|160|4.58
canarias|santacruz|El Sauzal|PODEMOS|108|3.09
canarias|santacruz|El Tanque|FO|1|0.12
canarias|santacruz|El Tanque|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|47|5.65
canarias|santacruz|El Tanque|IZQESP|0|0
canarias|santacruz|El Tanque|PP|268|32.25
canarias|santacruz|El Tanque|PSOE|202|24.3
canarias|santacruz|El Tanque|VOX|117|14.07
