comunidad|provincia|municipio|partido|votos|porcentaje
cantabria|cantabria|Alfoz de Lloredo|FO|2|0.16
cantabria|cantabria|Alfoz de Lloredo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|58|4.85
cantabria|cantabria|Alfoz de Lloredo|IZQESP|2|0.16
cantabria|cantabria|Alfoz de Lloredo|PP|531|44.47
cantabria|cantabria|Alfoz de Lloredo|PSOE|361|30.23
cantabria|cantabria|Alfoz de Lloredo|VOX|122|10.21
cantabria|cantabria|Alfoz de Lloredo|SUMAR|42|3.51
cantabria|cantabria|Alfoz de Lloredo|PODEMOS|35|2.93
cantabria|cantabria|Ampuero|FO|9|0.48
cantabria|cantabria|Ampuero|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|77|4.17
cantabria|cantabria|Ampuero|IZQESP|6|0.32
cantabria|cantabria|Ampuero|PP|711|38.53
cantabria|cantabria|Ampuero|PSOE|687|37.23
cantabria|cantabria|Ampuero|VOX|179|9.7
cantabria|cantabria|Ampuero|SUMAR|60|3.25
cantabria|cantabria|Ampuero|PODEMOS|42|2.27
cantabria|cantabria|Anievas|FO|0|0
cantabria|cantabria|Anievas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|0.7
cantabria|cantabria|Anievas|IZQESP|0|0
cantabria|cantabria|Anievas|PP|55|38.73
cantabria|cantabria|Anievas|PSOE|52|36.61
cantabria|cantabria|Anievas|VOX|28|19.71
cantabria|cantabria|Anievas|SUMAR|1|0.7
cantabria|cantabria|Anievas|PODEMOS|3|2.11
cantabria|cantabria|Arenas de Iguña|FO|1|0.12
cantabria|cantabria|Arenas de Iguña|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|28|3.46
cantabria|cantabria|Arenas de Iguña|IZQESP|0|0
cantabria|cantabria|Arenas de Iguña|PP|328|40.59
cantabria|cantabria|Arenas de Iguña|PSOE|294|36.38
cantabria|cantabria|Arenas de Iguña|VOX|113|13.98
