comunidad|provincia|municipio|partido|votos|porcentaje
cylm|albacete|Abengibre|FO|0|0
cylm|albacete|Abengibre|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|14|3.45
cylm|albacete|Abengibre|IZQESP|0|0
cylm|albacete|Abengibre|PP|182|44.93
cylm|albacete|Abengibre|PSOE|157|38.76
cylm|albacete|Abengibre|VOX|30|7.4
cylm|albacete|Abengibre|SUMAR|8|1.97
cylm|albacete|Abengibre|PODEMOS|6|1.48
cylm|albacete|Alatoz|FO|0|0
cylm|albacete|Alatoz|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|16|5.67
cylm|albacete|Alatoz|IZQESP|0|0
cylm|albacete|Alatoz|PP|119|42.19
cylm|albacete|Alatoz|PSOE|106|37.58
cylm|albacete|Alatoz|VOX|32|11.34
cylm|albacete|Alatoz|SUMAR|1|0.35
cylm|albacete|Alatoz|PODEMOS|0|0
cylm|albacete|Albacete|FO|266|0.38
cylm|albacete|Albacete|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|4.849|6.93
cylm|albacete|Albacete|IZQESP|145|0.2
cylm|albacete|Albacete|PP|30.919|44.23
cylm|albacete|Albacete|PSOE|18.572|26.56
cylm|albacete|Albacete|VOX|7.770|11.11
cylm|albacete|Albacete|SUMAR|2.611|3.73
cylm|albacete|Albacete|PODEMOS|1.987|2.84
cylm|albacete|Albatana|FO|0|0
cylm|albacete|Albatana|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|25|7
cylm|albacete|Albatana|IZQESP|0|0
cylm|albacete|Albatana|PP|147|41.17
cylm|albacete|Albatana|PSOE|132|36.97
cylm|albacete|Albatana|VOX|41|11.48
cylm|albacete|Albatana|SUMAR|4|1.12
cylm|albacete|Albatana|PODEMOS|1|0.28
cylm|albacete|Alborea|FO|2|0.6
cylm|albacete|Alborea|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|8|2.4
cylm|albacete|Alborea|IZQESP|0|0
cylm|albacete|Alborea|PP|133|40.06
cylm|albacete|Alborea|PSOE|127|38.25
cylm|albacete|Alborea|VOX|47|14.15
cylm|albacete|Alborea|SUMAR|3|0.9
cylm|albacete|Alborea|PODEMOS|3|0.9
cylm|albacete|Alcadozo|FO|1|0.27
cylm|albacete|Alcadozo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|12|3.31
cylm|albacete|Alcadozo|IZQESP|0|0
cylm|albacete|Alcadozo|PP|182|50.27
cylm|albacete|Alcadozo|PSOE|130|35.91
cylm|albacete|Alcadozo|VOX|27|7.45
cylm|albacete|Alcadozo|SUMAR|4|1.1
cylm|albacete|Alcadozo|PODEMOS|1|0.27
cylm|albacete|Alcalá del Júcar|FO|1|0.15
cylm|albacete|Alcalá del Júcar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|15|2.31
cylm|albacete|Alcalá del Júcar|IZQESP|0|0
cylm|albacete|Alcalá del Júcar|PP|180|27.77
cylm|albacete|Alcalá del Júcar|PSOE|375|57.87
cylm|albacete|Alcalá del Júcar|VOX|30|4.62
cylm|albacete|Alcalá del Júcar|SUMAR|13|2
cylm|albacete|Alcalá del Júcar|PODEMOS|24|3.7
cylm|albacete|Alcaraz|FO|2|0.4
cylm|albacete|Alcaraz|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|22|4.45
cylm|albacete|Alcaraz|IZQESP|0|0
cylm|albacete|Alcaraz|PP|202|40.89
cylm|albacete|Alcaraz|PSOE|178|36.03
cylm|albacete|Alcaraz|VOX|52|10.52
cylm|albacete|Alcaraz|SUMAR|15|3.03
cylm|albacete|Alcaraz|PODEMOS|6|1.21
cylm|albacete|Almansa|FO|26|0.28
cylm|albacete|Almansa|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|465|5.02
cylm|albacete|Almansa|IZQESP|19|0.2
cylm|albacete|Almansa|PP|3.532|38.19
cylm|albacete|Almansa|PSOE|3.590|38.81
cylm|albacete|Almansa|VOX|751|8.12
cylm|albacete|Almansa|SUMAR|291|3.14
cylm|albacete|Almansa|PODEMOS|251|2.71
cylm|albacete|Alpera|FO|1|0.1
cylm|albacete|Alpera|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|28|2.83
cylm|albacete|Alpera|IZQESP|0|0
cylm|albacete|Alpera|PP|427|43.21
cylm|albacete|Alpera|PSOE|378|38.25
cylm|albacete|Alpera|VOX|110|11.13
cylm|albacete|Alpera|SUMAR|12|1.21
cylm|albacete|Alpera|PODEMOS|18|1.82
cylm|albacete|Ayna|FO|0|0
cylm|albacete|Ayna|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|17|4.76
cylm|albacete|Ayna|IZQESP|0|0
cylm|albacete|Ayna|PP|170|47.61
cylm|albacete|Ayna|PSOE|122|34.17
cylm|albacete|Ayna|VOX|41|11.48
cylm|albacete|Ayna|SUMAR|3|0.84
cylm|albacete|Ayna|PODEMOS|3|0.84
cylm|albacete|Balazote|FO|3|0.27
cylm|albacete|Balazote|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|26|2.41
cylm|albacete|Balazote|IZQESP|2|0.18
cylm|albacete|Balazote|PP|484|44.98
cylm|albacete|Balazote|PSOE|428|39.77
cylm|albacete|Balazote|VOX|85|7.89
cylm|albacete|Balazote|SUMAR|12|1.11
cylm|albacete|Balazote|PODEMOS|10|0.92
cylm|albacete|Ballestero, El|FO|0|0
