comunidad|provincia|municipio|partido|votos|porcentaje
cylm|cuenca|Abia de la Obispalía|FO|1|2.22
cylm|cuenca|Abia de la Obispalía|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cylm|cuenca|Abia de la Obispalía|IZQESP|0|0
cylm|cuenca|Abia de la Obispalía|PP|21|46.66
cylm|cuenca|Abia de la Obispalía|PSOE|15|33.33
cylm|cuenca|Abia de la Obispalía|VOX|5|11.11
cylm|cuenca|Abia de la Obispalía|SUMAR|3|6.66
cylm|cuenca|Abia de la Obispalía|PODEMOS|0|0
cylm|cuenca|Acebrón, El|FO|0|0
cylm|cuenca|Acebrón, El|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|16|13.91
cylm|cuenca|Acebrón, El|IZQESP|0|0
cylm|cuenca|Acebrón, El|PP|34|29.56
cylm|cuenca|Acebrón, El|PSOE|27|23.47
cylm|cuenca|Acebrón, El|VOX|28|24.34
cylm|cuenca|Acebrón, El|SUMAR|3|2.6
cylm|cuenca|Acebrón, El|PODEMOS|3|2.6
cylm|cuenca|Alarcón|FO|0|0
cylm|cuenca|Alarcón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|5|4.9
cylm|cuenca|Alarcón|IZQESP|0|0
cylm|cuenca|Alarcón|PP|36|35.29
cylm|cuenca|Alarcón|PSOE|45|44.11
cylm|cuenca|Alarcón|VOX|7|6.86
cylm|cuenca|Alarcón|SUMAR|1|0.98
cylm|cuenca|Alarcón|PODEMOS|4|3.92
cylm|cuenca|Albaladejo del Cuende|FO|0|0
cylm|cuenca|Albaladejo del Cuende|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|1.52
cylm|cuenca|Albaladejo del Cuende|IZQESP|0|0
cylm|cuenca|Albaladejo del Cuende|PP|61|46.56
cylm|cuenca|Albaladejo del Cuende|PSOE|55|41.98
cylm|cuenca|Albaladejo del Cuende|VOX|10|7.63
cylm|cuenca|Albaladejo del Cuende|SUMAR|2|1.52
cylm|cuenca|Albaladejo del Cuende|PODEMOS|1|0.76
cylm|cuenca|Albalate de las Nogueras|FO|0|0
