comunidad|provincia|municipio|partido|votos|porcentaje
cylm|guadalajara|Abánades|FO|1|3.12
cylm|guadalajara|Abánades|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|3.12
cylm|guadalajara|Abánades|IZQESP|0|0
cylm|guadalajara|Abánades|PP|22|68.75
cylm|guadalajara|Abánades|PSOE|4|12.5
cylm|guadalajara|Abánades|VOX|2|6.25
cylm|guadalajara|Abánades|SUMAR|2|6.25
cylm|guadalajara|Abánades|PODEMOS|0|0
cylm|guadalajara|Ablanque|FO|1|1.85
cylm|guadalajara|Ablanque|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|3.7
cylm|guadalajara|Ablanque|IZQESP|0|0
cylm|guadalajara|Ablanque|PP|28|51.85
cylm|guadalajara|Ablanque|PSOE|19|35.18
cylm|guadalajara|Ablanque|VOX|1|1.85
cylm|guadalajara|Ablanque|SUMAR|0|0
cylm|guadalajara|Ablanque|PODEMOS|0|0
cylm|guadalajara|Adobes|FO|0|0
cylm|guadalajara|Adobes|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cylm|guadalajara|Adobes|IZQESP|0|0
cylm|guadalajara|Adobes|PP|5|21.73
cylm|guadalajara|Adobes|PSOE|12|52.17
cylm|guadalajara|Adobes|VOX|2|8.69
cylm|guadalajara|Adobes|SUMAR|3|13.04
cylm|guadalajara|Adobes|PODEMOS|0|0
cylm|guadalajara|Alaminos|FO|0|0
cylm|guadalajara|Alaminos|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|5.12
cylm|guadalajara|Alaminos|IZQESP|0|0
cylm|guadalajara|Alaminos|PP|24|61.53
cylm|guadalajara|Alaminos|PSOE|3|7.69
cylm|guadalajara|Alaminos|VOX|10|25.64
cylm|guadalajara|Alaminos|SUMAR|0|0
cylm|guadalajara|Alaminos|PODEMOS|0|0
cylm|guadalajara|Alarilla|FO|0|0
cylm|guadalajara|Alarilla|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cylm|guadalajara|Alarilla|IZQESP|1|1.92
cylm|guadalajara|Alarilla|PP|17|32.69
cylm|guadalajara|Alarilla|PSOE|17|32.69
cylm|guadalajara|Alarilla|VOX|3|5.76
cylm|guadalajara|Alarilla|SUMAR|6|11.53
cylm|guadalajara|Alarilla|PODEMOS|5|9.61
cylm|guadalajara|Albalate de Zorita|FO|0|0
cylm|guadalajara|Albalate de Zorita|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|22|5.18
cylm|guadalajara|Albalate de Zorita|IZQESP|1|0.23
cylm|guadalajara|Albalate de Zorita|PP|161|37.97
cylm|guadalajara|Albalate de Zorita|PSOE|153|36.08
cylm|guadalajara|Albalate de Zorita|VOX|46|10.84
cylm|guadalajara|Albalate de Zorita|SUMAR|15|3.53
cylm|guadalajara|Albalate de Zorita|PODEMOS|15|3.53
cylm|guadalajara|Albares|FO|0|0
cylm|guadalajara|Albares|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|10|4.18
cylm|guadalajara|Albares|IZQESP|0|0
cylm|guadalajara|Albares|PP|116|48.53
cylm|guadalajara|Albares|PSOE|76|31.79
cylm|guadalajara|Albares|VOX|29|12.13
cylm|guadalajara|Albares|SUMAR|3|1.25
cylm|guadalajara|Albares|PODEMOS|0|0
cylm|guadalajara|Albendiego|FO|0|0
cylm|guadalajara|Albendiego|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cylm|guadalajara|Albendiego|IZQESP|0|0
cylm|guadalajara|Albendiego|PP|4|12.9
cylm|guadalajara|Albendiego|PSOE|2|6.45
cylm|guadalajara|Albendiego|VOX|3|9.67
cylm|guadalajara|Albendiego|SUMAR|1|3.22
cylm|guadalajara|Albendiego|PODEMOS|18|58.06
cylm|guadalajara|Alcocer|FO|2|1.43
cylm|guadalajara|Alcocer|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|1.43
cylm|guadalajara|Alcocer|IZQESP|0|0
cylm|guadalajara|Alcocer|PP|53|38.12
cylm|guadalajara|Alcocer|PSOE|60|43.16
cylm|guadalajara|Alcocer|VOX|14|10.07
cylm|guadalajara|Alcocer|SUMAR|4|2.87
cylm|guadalajara|Alcocer|PODEMOS|2|1.43
cylm|guadalajara|Alcolea de las Peñas|FO|0|0
cylm|guadalajara|Alcolea de las Peñas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cylm|guadalajara|Alcolea de las Peñas|IZQESP|0|0
cylm|guadalajara|Alcolea de las Peñas|PP|2|22.22
cylm|guadalajara|Alcolea de las Peñas|PSOE|3|33.33
cylm|guadalajara|Alcolea de las Peñas|VOX|3|33.33
cylm|guadalajara|Alcolea de las Peñas|SUMAR|0|0
cylm|guadalajara|Alcolea de las Peñas|PODEMOS|0|0
cylm|guadalajara|Alcolea del Pinar|FO|0|0
cylm|guadalajara|Alcolea del Pinar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|8|6.95
cylm|guadalajara|Alcolea del Pinar|IZQESP|0|0
cylm|guadalajara|Alcolea del Pinar|PP|40|34.78
cylm|guadalajara|Alcolea del Pinar|PSOE|47|40.86
cylm|guadalajara|Alcolea del Pinar|VOX|9|7.82
cylm|guadalajara|Alcolea del Pinar|SUMAR|2|1.73
cylm|guadalajara|Alcolea del Pinar|PODEMOS|1|0.86
cylm|guadalajara|Alcoroches|FO|0|0
cylm|guadalajara|Alcoroches|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cylm|guadalajara|Alcoroches|IZQESP|0|0
cylm|guadalajara|Alcoroches|PP|22|29.33
cylm|guadalajara|Alcoroches|PSOE|43|57.33
cylm|guadalajara|Alcoroches|VOX|4|5.33
cylm|guadalajara|Alcoroches|SUMAR|3|4
cylm|guadalajara|Alcoroches|PODEMOS|0|0
cylm|guadalajara|Aldeanueva de Guadalajara|FO|0|0
cylm|guadalajara|Aldeanueva de Guadalajara|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|1.44
cylm|guadalajara|Aldeanueva de Guadalajara|IZQESP|0|0
cylm|guadalajara|Aldeanueva de Guadalajara|PP|30|43.47
cylm|guadalajara|Aldeanueva de Guadalajara|PSOE|29|42.02
cylm|guadalajara|Aldeanueva de Guadalajara|VOX|5|7.24
cylm|guadalajara|Aldeanueva de Guadalajara|SUMAR|1|1.44
cylm|guadalajara|Aldeanueva de Guadalajara|PODEMOS|1|1.44
cylm|guadalajara|Algar de Mesa|FO|0|0
cylm|guadalajara|Algar de Mesa|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|3.22
cylm|guadalajara|Algar de Mesa|IZQESP|0|0
cylm|guadalajara|Algar de Mesa|PP|10|32.25
cylm|guadalajara|Algar de Mesa|PSOE|15|48.38
cylm|guadalajara|Algar de Mesa|VOX|3|9.67
cylm|guadalajara|Algar de Mesa|SUMAR|1|3.22
cylm|guadalajara|Algar de Mesa|PODEMOS|1|3.22
cylm|guadalajara|Algora|FO|0|0
cylm|guadalajara|Algora|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|1.96
cylm|guadalajara|Algora|IZQESP|0|0
cylm|guadalajara|Algora|PP|26|50.98
cylm|guadalajara|Algora|PSOE|13|25.49
cylm|guadalajara|Algora|VOX|5|9.8
cylm|guadalajara|Algora|SUMAR|0|0
cylm|guadalajara|Algora|PODEMOS|0|0
cylm|guadalajara|Alhóndiga|FO|0|0
cylm|guadalajara|Alhóndiga|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|5|4.71
cylm|guadalajara|Alhóndiga|IZQESP|0|0
