comunidad|provincia|municipio|partido|votos|porcentaje
cylm|toledo|Ajofrín|PP|334|40.48
cylm|toledo|Ajofrín|PSOE|303|36.72
cylm|toledo|Ajofrín|VOX|97|11.75
cylm|toledo|Ajofrín|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|26|3.15
cylm|toledo|Ajofrín|SUMAR|18|2.18
cylm|toledo|Ajofrín|PODEMOS|17|2.06
cylm|toledo|Ajofrín|FO|5|0.6
cylm|toledo|Ajofrín|IZQESP|0|0
cylm|toledo|Alameda de la Sagra|PP|442|38
cylm|toledo|Alameda de la Sagra|PSOE|396|34.04
cylm|toledo|Alameda de la Sagra|VOX|195|16.76
cylm|toledo|Alameda de la Sagra|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|61|5.24
cylm|toledo|Alameda de la Sagra|SUMAR|18|1.54
cylm|toledo|Alameda de la Sagra|PODEMOS|26|2.23
cylm|toledo|Alameda de la Sagra|FO|2|0.17
cylm|toledo|Alameda de la Sagra|IZQESP|0|0
cylm|toledo|Albarreal de Tajo|PP|124|41.61
cylm|toledo|Albarreal de Tajo|PSOE|103|34.56
cylm|toledo|Albarreal de Tajo|VOX|51|17.11
cylm|toledo|Albarreal de Tajo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|6|2.01
cylm|toledo|Albarreal de Tajo|SUMAR|2|0.67
cylm|toledo|Albarreal de Tajo|PODEMOS|4|1.34
cylm|toledo|Albarreal de Tajo|FO|1|0.33
cylm|toledo|Albarreal de Tajo|IZQESP|0|0
cylm|toledo|Alcabón|PP|113|37.17
cylm|toledo|Alcabón|PSOE|107|35.19
cylm|toledo|Alcabón|VOX|44|14.47
cylm|toledo|Alcabón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|12|3.94
cylm|toledo|Alcabón|SUMAR|9|2.96
cylm|toledo|Alcabón|PODEMOS|6|1.97
cylm|toledo|Alcabón|FO|3|0.98
cylm|toledo|Alcabón|IZQESP|0|0
cylm|toledo|Alcañizo|PP|60|41.37
cylm|toledo|Alcañizo|PSOE|62|42.75
cylm|toledo|Alcañizo|VOX|15|10.34
cylm|toledo|Alcañizo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cylm|toledo|Alcañizo|SUMAR|0|0
cylm|toledo|Alcañizo|PODEMOS|2|1.37
cylm|toledo|Alcañizo|FO|2|1.37
cylm|toledo|Alcañizo|IZQESP|0|0
cylm|toledo|Alcaudete de la Jara|PP|213|36.85
cylm|toledo|Alcaudete de la Jara|PSOE|233|40.31
cylm|toledo|Alcaudete de la Jara|VOX|87|15.05
cylm|toledo|Alcaudete de la Jara|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|22|3.8
cylm|toledo|Alcaudete de la Jara|SUMAR|4|0.69
cylm|toledo|Alcaudete de la Jara|PODEMOS|9|1.55
cylm|toledo|Alcaudete de la Jara|FO|0|0
cylm|toledo|Alcaudete de la Jara|IZQESP|0|0
cylm|toledo|Alcolea de Tajo|PP|128|32.24
cylm|toledo|Alcolea de Tajo|PSOE|209|52.64
cylm|toledo|Alcolea de Tajo|VOX|31|7.8
cylm|toledo|Alcolea de Tajo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|7|1.76
cylm|toledo|Alcolea de Tajo|SUMAR|8|2.01
cylm|toledo|Alcolea de Tajo|PODEMOS|6|1.51
cylm|toledo|Alcolea de Tajo|FO|1|0.25
cylm|toledo|Alcolea de Tajo|IZQESP|0|0
cylm|toledo|Aldea en Cabo|PP|35|36.45
cylm|toledo|Aldea en Cabo|PSOE|49|51.04
cylm|toledo|Aldea en Cabo|VOX|8|8.33
cylm|toledo|Aldea en Cabo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|2.08
cylm|toledo|Aldea en Cabo|SUMAR|1|1.04
cylm|toledo|Aldea en Cabo|PODEMOS|0|0
cylm|toledo|Aldea en Cabo|FO|0|0
cylm|toledo|Aldea en Cabo|IZQESP|0|0
cylm|toledo|Aldeanueva de Barbarroya|PP|114|58.76
cylm|toledo|Aldeanueva de Barbarroya|PSOE|49|25.25
cylm|toledo|Aldeanueva de Barbarroya|VOX|19|9.79
cylm|toledo|Aldeanueva de Barbarroya|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|6|3.09
cylm|toledo|Aldeanueva de Barbarroya|SUMAR|0|0
cylm|toledo|Aldeanueva de Barbarroya|PODEMOS|0|0
cylm|toledo|Aldeanueva de Barbarroya|FO|0|0
cylm|toledo|Aldeanueva de Barbarroya|IZQESP|1|0.51
cylm|toledo|Aldeanueva de San Bartolomé|PP|73|34.59
cylm|toledo|Aldeanueva de San Bartolomé|PSOE|95|45.02
cylm|toledo|Aldeanueva de San Bartolomé|VOX|26|12.32
cylm|toledo|Aldeanueva de San Bartolomé|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|5|2.36
cylm|toledo|Aldeanueva de San Bartolomé|SUMAR|5|2.36
cylm|toledo|Aldeanueva de San Bartolomé|PODEMOS|3|1.42
cylm|toledo|Aldeanueva de San Bartolomé|FO|0|0
cylm|toledo|Aldeanueva de San Bartolomé|IZQESP|1|0.47
cylm|toledo|Almendral de la Cañada|PP|105|46.46
cylm|toledo|Almendral de la Cañada|PSOE|83|36.72
cylm|toledo|Almendral de la Cañada|VOX|26|11.5
cylm|toledo|Almendral de la Cañada|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|6|2.65
cylm|toledo|Almendral de la Cañada|SUMAR|1|0.44
cylm|toledo|Almendral de la Cañada|PODEMOS|1|0.44
cylm|toledo|Almendral de la Cañada|FO|0|0
cylm|toledo|Almendral de la Cañada|IZQESP|0|0
cylm|toledo|Almonacid de Toledo|PP|210|48.38
cylm|toledo|Almonacid de Toledo|PSOE|123|28.34
cylm|toledo|Almonacid de Toledo|VOX|50|11.52
cylm|toledo|Almonacid de Toledo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|15|3.45
cylm|toledo|Almonacid de Toledo|SUMAR|12|2.76
cylm|toledo|Almonacid de Toledo|PODEMOS|14|3.22
cylm|toledo|Almonacid de Toledo|FO|3|0.69
cylm|toledo|Almonacid de Toledo|IZQESP|1|0.23
cylm|toledo|Almorox|PP|562|55.8
cylm|toledo|Almorox|PSOE|273|27.11
cylm|toledo|Almorox|VOX|105|10.42
cylm|toledo|Almorox|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|27|2.68
cylm|toledo|Almorox|SUMAR|12|1.19
cylm|toledo|Almorox|PODEMOS|11|1.09
cylm|toledo|Almorox|FO|1|0.09
cylm|toledo|Almorox|IZQESP|0|0
cylm|toledo|Añover de Tajo|PP|473|28.35
cylm|toledo|Añover de Tajo|PSOE|737|44.18
cylm|toledo|Añover de Tajo|VOX|216|12.94
cylm|toledo|Añover de Tajo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|96|5.75
cylm|toledo|Añover de Tajo|SUMAR|54|3.23
cylm|toledo|Añover de Tajo|PODEMOS|43|2.57
cylm|toledo|Añover de Tajo|FO|6|0.35
cylm|toledo|Añover de Tajo|IZQESP|1|0.05
cylm|toledo|Arcicóllar|PP|119|31.31
cylm|toledo|Arcicóllar|PSOE|156|41.05
cylm|toledo|Arcicóllar|VOX|54|14.21
cylm|toledo|Arcicóllar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|21|5.52
cylm|toledo|Arcicóllar|SUMAR|11|2.89
cylm|toledo|Arcicóllar|PODEMOS|4|1.05
cylm|toledo|Arcicóllar|FO|2|0.52
cylm|toledo|Arcicóllar|IZQESP|0|0
cylm|toledo|Argés|PP|1.139|43.14
cylm|toledo|Argés|PSOE|737|27.91
cylm|toledo|Argés|VOX|361|13.67
cylm|toledo|Argés|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|128|4.84
cylm|toledo|Argés|SUMAR|115|4.35
cylm|toledo|Argés|PODEMOS|57|2.15
cylm|toledo|Argés|FO|7|0.26
cylm|toledo|Argés|IZQESP|5|0.18
cylm|toledo|Azután|PP|42|27.27
cylm|toledo|Azután|PSOE|96|62.33
cylm|toledo|Azután|VOX|5|3.24
cylm|toledo|Azután|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|0.64
cylm|toledo|Azután|SUMAR|2|1.29
cylm|toledo|Azután|PODEMOS|5|3.24
cylm|toledo|Azután|FO|0|0
cylm|toledo|Azután|IZQESP|0|0
cylm|toledo|Barcience|PP|80|26.93
cylm|toledo|Barcience|PSOE|82|27.6
cylm|toledo|Barcience|VOX|71|23.9
cylm|toledo|Barcience|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|32|10.77
cylm|toledo|Barcience|SUMAR|17|5.72
cylm|toledo|Barcience|PODEMOS|9|3.03
cylm|toledo|Barcience|FO|1|0.33
cylm|toledo|Barcience|IZQESP|0|0
cylm|toledo|Bargas|PP|1.467|35.59
cylm|toledo|Bargas|PSOE|1.525|37
cylm|toledo|Bargas|VOX|474|11.5
cylm|toledo|Bargas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|176|4.27
cylm|toledo|Bargas|SUMAR|181|4.39
cylm|toledo|Bargas|PODEMOS|123|2.98
cylm|toledo|Bargas|FO|17|0.41
cylm|toledo|Bargas|IZQESP|5|0.12
cylm|toledo|Belvís de la Jara|PP|367|50.48
cylm|toledo|Belvís de la Jara|PSOE|219|30.12
cylm|toledo|Belvís de la Jara|VOX|90|12.37
cylm|toledo|Belvís de la Jara|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|11|1.51
cylm|toledo|Belvís de la Jara|SUMAR|19|2.61
cylm|toledo|Belvís de la Jara|PODEMOS|5|0.68
cylm|toledo|Belvís de la Jara|FO|0|0
cylm|toledo|Belvís de la Jara|IZQESP|1|0.13
cylm|toledo|Borox|PP|433|37
cylm|toledo|Borox|PSOE|377|32.22
cylm|toledo|Borox|VOX|168|14.35
cylm|toledo|Borox|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|56|4.78
cylm|toledo|Borox|SUMAR|38|3.24
cylm|toledo|Borox|PODEMOS|24|2.05
cylm|toledo|Borox|FO|7|0.59
cylm|toledo|Borox|IZQESP|0|0
cylm|toledo|Buenaventura|PP|67|37.01
cylm|toledo|Buenaventura|PSOE|65|35.91
cylm|toledo|Buenaventura|VOX|34|18.78
cylm|toledo|Buenaventura|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|1.1
cylm|toledo|Buenaventura|SUMAR|3|1.65
cylm|toledo|Buenaventura|PODEMOS|2|1.1
cylm|toledo|Buenaventura|FO|0|0
cylm|toledo|Buenaventura|IZQESP|0|0
cylm|toledo|Burguillos de Toledo|PP|523|35.89
cylm|toledo|Burguillos de Toledo|PSOE|411|28.2
cylm|toledo|Burguillos de Toledo|VOX|237|16.26
cylm|toledo|Burguillos de Toledo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|106|7.27
cylm|toledo|Burguillos de Toledo|SUMAR|72|4.94
cylm|toledo|Burguillos de Toledo|PODEMOS|39|2.67
cylm|toledo|Burguillos de Toledo|FO|7|0.48
cylm|toledo|Burguillos de Toledo|IZQESP|1|0.06
cylm|toledo|Burujón|PP|298|54.18
cylm|toledo|Burujón|PSOE|133|24.18
cylm|toledo|Burujón|VOX|81|14.72
cylm|toledo|Burujón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|16|2.9
cylm|toledo|Burujón|SUMAR|6|1.09
cylm|toledo|Burujón|PODEMOS|2|0.36
cylm|toledo|Burujón|FO|5|0.9
cylm|toledo|Burujón|IZQESP|0|0
cylm|toledo|Cabañas de la Sagra|PP|187|31.16
cylm|toledo|Cabañas de la Sagra|PSOE|231|38.5
cylm|toledo|Cabañas de la Sagra|VOX|107|17.83
cylm|toledo|Cabañas de la Sagra|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|26|4.33
cylm|toledo|Cabañas de la Sagra|SUMAR|14|2.33
cylm|toledo|Cabañas de la Sagra|PODEMOS|9|1.5
cylm|toledo|Cabañas de la Sagra|FO|6|1
cylm|toledo|Cabañas de la Sagra|IZQESP|0|0
cylm|toledo|Cabañas de Yepes|PP|45|32.84
cylm|toledo|Cabañas de Yepes|PSOE|55|40.14
cylm|toledo|Cabañas de Yepes|VOX|22|16.05
cylm|toledo|Cabañas de Yepes|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|7|5.1
cylm|toledo|Cabañas de Yepes|SUMAR|1|0.72
cylm|toledo|Cabañas de Yepes|PODEMOS|4|2.91
cylm|toledo|Cabañas de Yepes|FO|1|0.72
cylm|toledo|Cabañas de Yepes|IZQESP|0|0
cylm|toledo|Cabezamesada|PP|48|25.26
cylm|toledo|Cabezamesada|PSOE|101|53.15
cylm|toledo|Cabezamesada|VOX|29|15.26
cylm|toledo|Cabezamesada|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|9|4.73
cylm|toledo|Cabezamesada|SUMAR|0|0
cylm|toledo|Cabezamesada|PODEMOS|0|0
cylm|toledo|Cabezamesada|FO|0|0
cylm|toledo|Cabezamesada|IZQESP|1|0.52
cylm|toledo|Calera y Chozas|PP|756|38.88
cylm|toledo|Calera y Chozas|PSOE|798|41.04
cylm|toledo|Calera y Chozas|VOX|214|11
cylm|toledo|Calera y Chozas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|62|3.18
cylm|toledo|Calera y Chozas|SUMAR|21|1.08
cylm|toledo|Calera y Chozas|PODEMOS|39|2
cylm|toledo|Calera y Chozas|FO|3|0.15
cylm|toledo|Calera y Chozas|IZQESP|4|0.2
cylm|toledo|Caleruela|PP|54|41.86
cylm|toledo|Caleruela|PSOE|55|42.63
cylm|toledo|Caleruela|VOX|8|6.2
cylm|toledo|Caleruela|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|7|5.42
cylm|toledo|Caleruela|SUMAR|1|0.77
cylm|toledo|Caleruela|PODEMOS|0|0
cylm|toledo|Caleruela|FO|0|0
cylm|toledo|Caleruela|IZQESP|0|0
cylm|toledo|Calzada de Oropesa|PP|86|35.1
cylm|toledo|Calzada de Oropesa|PSOE|103|42.04
cylm|toledo|Calzada de Oropesa|VOX|23|9.38
cylm|toledo|Calzada de Oropesa|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|11|4.48
cylm|toledo|Calzada de Oropesa|SUMAR|6|2.44
