comunidad|provincia|municipio|partido|votos|porcentaje
cyl|avila|Adanero|FO|0|0
cyl|avila|Adanero|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|8|7.27
cyl|avila|Adanero|IZQESP|0|0
cyl|avila|Adanero|PP|56|50.9
cyl|avila|Adanero|PSOE|30|27.27
cyl|avila|Adanero|VOX|11|10
cyl|avila|Adanero|SUMAR|1|0.9
cyl|avila|Adanero|PODEMOS|1|0.9
cyl|avila|Albornos|FO|0|0
cyl|avila|Albornos|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|5|5.43
cyl|avila|Albornos|IZQESP|0|0
cyl|avila|Albornos|PP|51|55.43
cyl|avila|Albornos|PSOE|14|15.21
cyl|avila|Albornos|VOX|15|16.3
cyl|avila|Albornos|SUMAR|0|0
cyl|avila|Albornos|PODEMOS|0|0
cyl|avila|Aldeanueva de Santa Cruz|FO|0|0
cyl|avila|Aldeanueva de Santa Cruz|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3|4.91
cyl|avila|Aldeanueva de Santa Cruz|IZQESP|0|0
cyl|avila|Aldeanueva de Santa Cruz|PP|45|73.77
cyl|avila|Aldeanueva de Santa Cruz|PSOE|8|13.11
cyl|avila|Aldeanueva de Santa Cruz|VOX|3|4.91
cyl|avila|Aldeanueva de Santa Cruz|SUMAR|0|0
cyl|avila|Aldeanueva de Santa Cruz|PODEMOS|0|0
cyl|avila|Aldeaseca|FO|0|0
cyl|avila|Aldeaseca|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3|2.6
cyl|avila|Aldeaseca|IZQESP|0|0
cyl|avila|Aldeaseca|PP|64|55.65
cyl|avila|Aldeaseca|PSOE|28|24.34
cyl|avila|Aldeaseca|VOX|19|16.52
cyl|avila|Aldeaseca|SUMAR|0|0
cyl|avila|Aldeaseca|PODEMOS|1|0.86
cyl|avila|Amavida|FO|0|0
cyl|avila|Amavida|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|8|9.41
cyl|avila|Amavida|IZQESP|0|0
