comunidad|provincia|municipio|partido|votos|porcentaje
cyl|burgos|Abajas|FO|0|0
cyl|burgos|Abajas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cyl|burgos|Abajas|IZQESP|0|0
cyl|burgos|Abajas|PP|10|52.63
cyl|burgos|Abajas|PSOE|7|36.84
cyl|burgos|Abajas|VOX|2|10.52
cyl|burgos|Abajas|SUMAR|0|0
cyl|burgos|Abajas|PODEMOS|0|0
cyl|burgos|Adrada de Haza|FO|1|0.89
cyl|burgos|Adrada de Haza|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cyl|burgos|Adrada de Haza|IZQESP|0|0
cyl|burgos|Adrada de Haza|PP|28|25
cyl|burgos|Adrada de Haza|PSOE|51|45.53
cyl|burgos|Adrada de Haza|VOX|9|8.03
cyl|burgos|Adrada de Haza|SUMAR|6|5.35
cyl|burgos|Adrada de Haza|PODEMOS|9|8.03
cyl|burgos|Aguas Cándidas|FO|0|0
cyl|burgos|Aguas Cándidas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|5.55
cyl|burgos|Aguas Cándidas|IZQESP|0|0
cyl|burgos|Aguas Cándidas|PP|6|33.33
cyl|burgos|Aguas Cándidas|PSOE|5|27.77
cyl|burgos|Aguas Cándidas|VOX|3|16.66
cyl|burgos|Aguas Cándidas|SUMAR|0|0
cyl|burgos|Aguas Cándidas|PODEMOS|0|0
cyl|burgos|Aguilar de Bureba|FO|0|0
cyl|burgos|Aguilar de Bureba|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cyl|burgos|Aguilar de Bureba|IZQESP|0|0
cyl|burgos|Aguilar de Bureba|PP|16|57.14
cyl|burgos|Aguilar de Bureba|PSOE|2|7.14
cyl|burgos|Aguilar de Bureba|VOX|9|32.14
cyl|burgos|Aguilar de Bureba|SUMAR|0|0
cyl|burgos|Aguilar de Bureba|PODEMOS|0|0
cyl|burgos|Albillos|FO|0|0
cyl|burgos|Albillos|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|4|3.66
cyl|burgos|Albillos|IZQESP|0|0
cyl|burgos|Albillos|PP|46|42.2
cyl|burgos|Albillos|PSOE|24|22.01
cyl|burgos|Albillos|VOX|24|22.01
cyl|burgos|Albillos|SUMAR|3|2.75
cyl|burgos|Albillos|PODEMOS|2|1.83
cyl|burgos|Alcocero de Mola|FO|0|0
cyl|burgos|Alcocero de Mola|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3|9.67
cyl|burgos|Alcocero de Mola|IZQESP|0|0
cyl|burgos|Alcocero de Mola|PP|14|45.16
cyl|burgos|Alcocero de Mola|PSOE|4|12.9
cyl|burgos|Alcocero de Mola|VOX|8|25.8
cyl|burgos|Alcocero de Mola|SUMAR|1|3.22
cyl|burgos|Alcocero de Mola|PODEMOS|0|0
cyl|burgos|Alfoz de Bricia|FO|0|0
cyl|burgos|Alfoz de Bricia|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|2.43
cyl|burgos|Alfoz de Bricia|IZQESP|0|0
cyl|burgos|Alfoz de Bricia|PP|24|58.53
cyl|burgos|Alfoz de Bricia|PSOE|8|19.51
cyl|burgos|Alfoz de Bricia|VOX|3|7.31
cyl|burgos|Alfoz de Bricia|SUMAR|0|0
cyl|burgos|Alfoz de Bricia|PODEMOS|2|4.87
cyl|burgos|Alfoz de Quintanadueñas|FO|10|1.21
cyl|burgos|Alfoz de Quintanadueñas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|43|5.22
cyl|burgos|Alfoz de Quintanadueñas|IZQESP|5|0.6
cyl|burgos|Alfoz de Quintanadueñas|PP|285|34.62
cyl|burgos|Alfoz de Quintanadueñas|PSOE|252|30.61
cyl|burgos|Alfoz de Quintanadueñas|VOX|118|14.33
cyl|burgos|Alfoz de Quintanadueñas|SUMAR|38|4.61
cyl|burgos|Alfoz de Quintanadueñas|PODEMOS|22|2.67
cyl|burgos|Alfoz de Santa Gadea|FO|0|0
cyl|burgos|Alfoz de Santa Gadea|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|1.75
cyl|burgos|Alfoz de Santa Gadea|IZQESP|0|0
cyl|burgos|Alfoz de Santa Gadea|PP|24|42.1
cyl|burgos|Alfoz de Santa Gadea|PSOE|14|24.56
cyl|burgos|Alfoz de Santa Gadea|VOX|6|10.52
cyl|burgos|Alfoz de Santa Gadea|SUMAR|3|5.26
cyl|burgos|Alfoz de Santa Gadea|PODEMOS|1|1.75
cyl|burgos|Altable|FO|0|0
cyl|burgos|Altable|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|3.44
cyl|burgos|Altable|IZQESP|0|0
cyl|burgos|Altable|PP|20|68.96
cyl|burgos|Altable|PSOE|2|6.89
cyl|burgos|Altable|VOX|1|3.44
cyl|burgos|Altable|SUMAR|0|0
cyl|burgos|Altable|PODEMOS|0|0
cyl|burgos|Ameyugo|FO|0|0
cyl|burgos|Ameyugo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|3.38
cyl|burgos|Ameyugo|IZQESP|0|0
cyl|burgos|Ameyugo|PP|19|32.2
cyl|burgos|Ameyugo|PSOE|19|32.2
cyl|burgos|Ameyugo|VOX|13|22.03
cyl|burgos|Ameyugo|SUMAR|0|0
cyl|burgos|Ameyugo|PODEMOS|3|5.08
cyl|burgos|Anguix|FO|0|0
cyl|burgos|Anguix|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|1.88
cyl|burgos|Anguix|IZQESP|0|0
cyl|burgos|Anguix|PP|28|52.83
cyl|burgos|Anguix|PSOE|15|28.3
cyl|burgos|Anguix|VOX|2|3.77
cyl|burgos|Anguix|SUMAR|1|1.88
cyl|burgos|Anguix|PODEMOS|0|0
cyl|burgos|Aranda de Duero|FO|66|0.52
cyl|burgos|Aranda de Duero|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|516|4.07
cyl|burgos|Aranda de Duero|IZQESP|26|0.2
cyl|burgos|Aranda de Duero|PP|5.036|39.73
cyl|burgos|Aranda de Duero|PSOE|4.337|34.22
cyl|burgos|Aranda de Duero|VOX|1.212|9.56
cyl|burgos|Aranda de Duero|SUMAR|452|3.56
cyl|burgos|Aranda de Duero|PODEMOS|323|2.54
cyl|burgos|Arandilla|FO|0|0
cyl|burgos|Arandilla|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cyl|burgos|Arandilla|IZQESP|0|0
cyl|burgos|Arandilla|PP|42|52.5
cyl|burgos|Arandilla|PSOE|22|27.5
cyl|burgos|Arandilla|VOX|8|10
cyl|burgos|Arandilla|SUMAR|5|6.25
cyl|burgos|Arandilla|PODEMOS|0|0
cyl|burgos|Arauzo de Miel|FO|2|1.39
