comunidad|provincia|municipio|partido|votos|porcentaje
cyl|leon|Acebedo|FO|0|0
cyl|leon|Acebedo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|4|5.4
cyl|leon|Acebedo|IZQESP|0|0
cyl|leon|Acebedo|PP|33|44.59
cyl|leon|Acebedo|PSOE|21|28.37
cyl|leon|Acebedo|VOX|10|13.51
cyl|leon|Acebedo|SUMAR|1|1.35
cyl|leon|Acebedo|PODEMOS|1|1.35
cyl|leon|Algadefe|FO|0|0
cyl|leon|Algadefe|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|4|2.96
cyl|leon|Algadefe|IZQESP|1|0.74
cyl|leon|Algadefe|PP|50|37.03
cyl|leon|Algadefe|PSOE|50|37.03
cyl|leon|Algadefe|VOX|24|17.77
cyl|leon|Algadefe|SUMAR|2|1.48
cyl|leon|Algadefe|PODEMOS|0|0
cyl|leon|Alija del Infantado|FO|0|0
cyl|leon|Alija del Infantado|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|14|5.32
cyl|leon|Alija del Infantado|IZQESP|1|0.38
cyl|leon|Alija del Infantado|PP|132|50.19
cyl|leon|Alija del Infantado|PSOE|75|28.51
cyl|leon|Alija del Infantado|VOX|27|10.26
cyl|leon|Alija del Infantado|SUMAR|2|0.76
cyl|leon|Alija del Infantado|PODEMOS|0|0
cyl|leon|Almanza|FO|2|0.75
cyl|leon|Almanza|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|8|3.03
cyl|leon|Almanza|IZQESP|0|0
cyl|leon|Almanza|PP|136|51.51
cyl|leon|Almanza|PSOE|80|30.3
cyl|leon|Almanza|VOX|29|10.98
cyl|leon|Almanza|SUMAR|5|1.89
cyl|leon|Almanza|PODEMOS|1|0.37
cyl|leon|Ardón|FO|0|0
cyl|leon|Ardón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|8|2.82
cyl|leon|Ardón|IZQESP|0|0
cyl|leon|Ardón|PP|134|47.34
cyl|leon|Ardón|PSOE|68|24.02
cyl|leon|Ardón|VOX|45|15.9
cyl|leon|Ardón|SUMAR|3|1.06
cyl|leon|Ardón|PODEMOS|1|0.35
cyl|leon|Arganza|FO|5|1.27
cyl|leon|Arganza|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|11|2.81
cyl|leon|Arganza|IZQESP|0|0
cyl|leon|Arganza|PP|103|26.34
cyl|leon|Arganza|PSOE|175|44.75
cyl|leon|Arganza|VOX|41|10.48
cyl|leon|Arganza|SUMAR|18|4.6
cyl|leon|Arganza|PODEMOS|23|5.88
