comunidad|provincia|municipio|partido|votos|porcentaje
cataluna|barcelona|Abrera|PP|633|15.22
cataluna|barcelona|Abrera|PSOE|1.628|39.16
cataluna|barcelona|Abrera|VOX|469|11.28
cataluna|barcelona|Abrera|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|172|4.13
cataluna|barcelona|Abrera|SUMAR|177|4.25
cataluna|barcelona|Abrera|PODEMOS|128|3.07
cataluna|barcelona|Abrera|FO|19|0.45
cataluna|barcelona|Abrera|IZQESP|9|0.21
cataluna|barcelona|Aguilar de Segarra|PP|2|1.62
cataluna|barcelona|Aguilar de Segarra|PSOE|14|11.38
cataluna|barcelona|Aguilar de Segarra|VOX|5|4.06
cataluna|barcelona|Aguilar de Segarra|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|0.81
cataluna|barcelona|Aguilar de Segarra|SUMAR|10|8.13
cataluna|barcelona|Aguilar de Segarra|PODEMOS|3|2.43
cataluna|barcelona|Aguilar de Segarra|FO|0|0
cataluna|barcelona|Aguilar de Segarra|IZQESP|0|0
cataluna|barcelona|Aiguafreda|PP|61|6.6
cataluna|barcelona|Aiguafreda|PSOE|198|21.42
cataluna|barcelona|Aiguafreda|VOX|45|4.87
cataluna|barcelona|Aiguafreda|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|20|2.16
cataluna|barcelona|Aiguafreda|SUMAR|31|3.35
cataluna|barcelona|Aiguafreda|PODEMOS|30|3.24
cataluna|barcelona|Aiguafreda|FO|3|0.32
cataluna|barcelona|Aiguafreda|IZQESP|0|0
cataluna|barcelona|Alella|PP|561|15.8
cataluna|barcelona|Alella|PSOE|837|23.58
cataluna|barcelona|Alella|VOX|155|4.36
cataluna|barcelona|Alella|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|124|3.49
cataluna|barcelona|Alella|SUMAR|107|3.01
cataluna|barcelona|Alella|PODEMOS|99|2.78
cataluna|barcelona|Alella|FO|4|0.11
cataluna|barcelona|Alella|IZQESP|2|0.05
cataluna|barcelona|Alpens|PP|1|0.76
cataluna|barcelona|Alpens|PSOE|26|19.84
cataluna|barcelona|Alpens|VOX|1|0.76
cataluna|barcelona|Alpens|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|0.76
cataluna|barcelona|Alpens|SUMAR|1|0.76
cataluna|barcelona|Alpens|PODEMOS|4|3.05
cataluna|barcelona|Alpens|FO|0|0
cataluna|barcelona|Alpens|IZQESP|0|0
cataluna|barcelona|Ametlla del Vallès, l'|IZQESP|0|0
cataluna|barcelona|Arenys de Mar|PP|613|11.16
cataluna|barcelona|Arenys de Mar|PSOE|1.318|24.01
cataluna|barcelona|Arenys de Mar|VOX|228|4.15
cataluna|barcelona|Arenys de Mar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|160|2.91
cataluna|barcelona|Arenys de Mar|SUMAR|197|3.58
cataluna|barcelona|Arenys de Mar|PODEMOS|220|4
cataluna|barcelona|Arenys de Mar|FO|16|0.29
cataluna|barcelona|Arenys de Mar|IZQESP|3|0.05
cataluna|barcelona|Arenys de Munt|PP|192|6.49
cataluna|barcelona|Arenys de Munt|PSOE|519|17.54
cataluna|barcelona|Arenys de Munt|VOX|124|4.19
cataluna|barcelona|Arenys de Munt|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|70|2.36
cataluna|barcelona|Arenys de Munt|SUMAR|92|3.11
cataluna|barcelona|Arenys de Munt|PODEMOS|102|3.44
cataluna|barcelona|Arenys de Munt|FO|15|0.5
cataluna|barcelona|Arenys de Munt|IZQESP|0|0
